iter	M_lnV_dist(1)	M_lnk_e(1)	M_lnk_a(1)	V_lnV_dist(1)	V_lnk_e(1)	V_lnk_a(1)	Ve_lnC_rest(1)	lnV_dist(1.1)	lnk_e(1.1)	lnk_a(1.1)	lnV_dist(1.1.1)	lnk_e(1.1.1)	lnk_a(1.1.1)	lnV_dist(1.2)	lnk_e(1.2)	lnk_a(1.2)	lnV_dist(1.2.1)	lnk_e(1.2.1)	lnk_a(1.2.1)	LnPrior	LnData	LnPosterior
110	-0.248545	-0.690875	-2.42148	0.13524	0.0592813	0.0893836	0.482581	-0.29498	-0.452027	-2.8545	-0.316147	-0.340874	-2.72465	-0.523197	-0.62551	-2.79626	-1.18448	-0.530219	-3.24706	4.652412e-01	-3.659943e+01	-3.613419e+01
120	-1.12631	-0.519059	-2.95052	0.683735	0.0814034	0.442597	0.436771	-1.6588	-0.336119	-1.54701	-1.01309	-0.809366	-1.50159	-0.251597	-0.538566	-2.57879	-0.703958	-0.728214	-2.34544	-1.133900e+01	-3.827724e+01	-4.961624e+01
130	-1.51144	-0.790189	-1.63879	0.0894145	0.124174	0.154804	0.463042	-1.25341	-0.36656	-2.08825	-1.24717	-0.243056	-2.04227	-1.39114	-1.07098	-1.93378	-1.41826	-1.31866	-2.48766	-1.607123e-01	-3.726243e+01	-3.742314e+01
140	-1.81516	-0.251205	-1.93124	0.0841251	0.241879	0.054627	0.464185	-1.50816	-0.214294	-1.84404	-1.63326	-0.197162	-1.4708	-1.6828	-0.40115	-1.85548	-1.50042	-0.488337	-1.9631	2.187033e+00	-3.722161e+01	-3.503457e+01
150	-1.84423	-0.544478	-2.37717	0.0546255	0.198292	0.254463	0.497374	-1.63472	-0.643857	-2.32766	-1.6223	-0.925397	-2.6421	-1.27798	-1.57783	-2.25709	-0.939018	-1.46882	-2.23902	-6.672069e+00	-3.614274e+01	-4.281480e+01
160	-1.80169	-0.767815	-2.23707	0.377454	0.233661	0.206393	0.491261	-1.95802	-0.167322	-1.86406	-1.98039	-0.232356	-1.75044	-1.24922	-1.37572	-2.27546	-1.05972	-0.69245	-3.09985	-7.892773e+00	-3.632702e+01	-4.421979e+01
170	-1.79503	-0.80785	-1.76506	0.134529	0.165556	0.220237	0.489334	-1.96187	-0.322782	-1.65919	-1.82206	-0.255867	-1.93258	-1.58332	-1.15853	-2.83024	-1.5723	-1.41717	-2.92846	-3.038298e+00	-3.638640e+01	-3.942470e+01
180	-1.96606	-1.09277	-1.64362	0.161735	0.213831	0.154421	0.489334	-1.98111	-1.46094	-1.11129	-1.81617	-1.54906	-1.4935	-1.62566	-0.693108	-1.73674	-1.81965	-0.0287925	-2.5897	-4.563643e+00	-3.638640e+01	-4.095004e+01
190	-1.93499	-0.00772343	-1.48041	0.133021	0.954157	0.121135	0.408622	-2.08838	-0.0911019	-1.54183	-2.03165	-0.552879	-2.08339	-1.74575	-0.374468	-1.13113	-1.30035	-0.346205	-1.03897	-4.199820e+00	-3.955246e+01	-4.375228e+01
200	-2.08493	-0.757137	-0.872343	0.0806716	0.80809	0.133042	0.460725	-1.46621	-1.08436	-1.45663	-1.10215	-1.03329	-1.51596	-1.67872	-0.780512	-0.250287	-1.96098	-1.303	-0.65392	-9.643028e+00	-3.734596e+01	-4.698899e+01
210	-1.6097	-2.25691	-0.979951	0.126913	0.916697	0.105984	0.441722	-1.96838	-1.20583	-0.86494	-1.99243	-1.05853	-1.20981	-1.52472	-1.93815	-0.483043	-1.29796	-1.69169	-0.414602	-7.070722e+00	-3.807409e+01	-4.514481e+01
220	-1.98948	-0.597543	-1.31792	0.0453546	2.1446	0.112486	0.473424	-1.88823	-0.534553	-1.29774	-1.91697	-1.4176	-2.00156	-2.10622	-1.05433	-1.33383	-1.92429	-0.959507	-1.04009	-8.592182e+00	-3.690121e+01	-4.549339e+01
230	-1.79938	-0.0406934	-1.24759	0.156901	2.00892	0.112486	0.47154	-1.77862	-0.913784	-0.823293	-1.89655	-1.24873	-0.469092	-1.62232	-0.137458	-1.12245	-1.86403	-0.536419	-1.35527	-8.635102e+00	-3.696522e+01	-4.560032e+01
240	-1.43197	-0.598547	-1.06333	0.188273	1.81249	0.180413	0.479819	-1.76432	-1.4531	-0.660274	-1.979	-1.19317	-0.275791	-1.81495	-0.958395	-1.4449	-1.67064	-2.03397	-1.62209	-1.186788e+01	-3.668884e+01	-4.855672e+01
250	-1.78768	-1.33765	-0.700802	0.188273	0.284224	0.202583	0.473903	-1.02313	-2.07969	-0.472013	-0.922336	-2.41138	-0.910891	-1.70264	-0.690696	-1.07138	-2.08805	-0.893801	-1.48006	-6.813272e+00	-3.688502e+01	-4.369830e+01
260	-1.23823	-1.66874	-1.03192	0.300012	0.155361	0.114966	0.479911	-1.22681	-2.42065	-0.785251	-0.609221	-2.87886	-1.66538	-1.79088	-1.79134	-1.43747	-1.48147	-1.90588	-2.01512	-9.534766e+00	-3.668584e+01	-4.622061e+01
270	-1.60488	-2.53688	-1.24131	0.418558	0.112665	0.520857	0.470389	-0.904661	-2.14653	-0.487088	-1.11457	-2.30068	-0.0234479	-1.66105	-2.09436	-2.00833	-1.93409	-1.5947	-2.79162	-1.080724e+01	-3.700466e+01	-4.781190e+01
280	-1.33775	-2.67696	-0.997506	0.30521	0.162305	0.160949	0.437502	-1.40725	-2.15216	-1.05359	-1.41483	-2.07097	-0.9825	-1.73029	-2.22616	-0.793441	-1.25275	-1.50032	-0.427211	-5.213816e+00	-3.824688e+01	-4.346070e+01
290	-1.57848	-1.68457	-0.51234	0.137246	0.18527	0.254027	0.499841	-1.3858	-2.01968	-1.10058	-1.82222	-2.75515	-1.10378	-1.3234	-0.87325	-0.38233	-2.10594	-0.877561	-0.345222	-7.584907e+00	-3.607005e+01	-4.365496e+01
300	-1.68023	-0.439209	-1.34091	0.116522	0.18527	0.0742084	0.488112	-1.27725	-1.28995	-1.35315	-1.78393	-1.85799	-1.29772	-1.8187	-1.05059	-1.71423	-1.89283	-0.166061	-1.67568	-4.931405e+00	-3.642435e+01	-4.135576e+01
310	-1.23647	-1.67857	-1.26042	0.0427318	0.219893	0.0396409	0.470781	-1.29398	-1.73618	-1.15134	-1.26529	-1.3964	-1.09371	-1.22366	-2.1836	-1.30335	-1.3125	-2.20775	-1.49839	1.068909e+00	-3.699119e+01	-3.592228e+01
320	-1.49985	-2.07681	-1.71511	0.170714	0.0761664	0.134726	0.462862	-1.12747	-1.97868	-1.79909	-0.80751	-1.80316	-2.3314	-1.5117	-1.98236	-2.04427	-1.659	-1.62499	-1.83234	-3.314395e-01	-3.726886e+01	-3.760030e+01
330	-1.8358	-1.85039	-2.11832	0.208341	0.0647729	0.118251	0.494939	-1.58357	-1.97868	-2.52214	-1.39088	-1.94155	-2.62969	-1.16967	-1.4361	-1.98794	-0.269163	-1.65926	-2.23226	-2.641614e+00	-3.621543e+01	-3.885704e+01
340	-1.15427	-2.23511	-2.4502	0.0625065	0.0603076	0.0523015	0.463572	-1.44415	-2.00108	-2.19892	-1.21017	-2.04971	-2.62969	-1.37993	-2.2079	-2.56116	-1.37551	-2.02651	-2.40334	1.576087e+00	-3.724346e+01	-3.566737e+01
350	-1.25504	-2.23511	-2.77927	0.499151	0.163641	0.081828	0.489252	-0.759316	-1.68123	-2.83408	-0.955793	-1.32657	-2.89999	-1.57363	-2.15259	-3.00137	-0.538856	-2.4292	-2.90597	-4.763822e+00	-3.638894e+01	-4.115276e+01
360	-1.08788	-0.507843	-2.46419	0.185789	0.163641	0.119614	0.455442	-0.917391	-0.996454	-2.65832	-1.21334	-1.4871	-2.89999	-1.33608	-0.979014	-2.1375	-2.06554	-0.710389	-1.75042	-4.165947e+00	-3.754053e+01	-4.170648e+01
370	-1.75347	-0.682195	-2.46419	0.423073	0.0693822	0.119763	0.461875	-1.00113	-1.38878	-2.81098	-1.15077	-1.4871	-3.48605	-1.62184	-0.65463	-2.73582	-1.4553	-0.167243	-2.71695	-7.970332e+00	-3.730435e+01	-4.527468e+01
380	-0.938842	-0.521836	-2.23972	0.0724784	0.201923	0.119763	0.44743	-0.827746	-0.596866	-1.88776	-0.925657	-0.905613	-1.71301	-1.02255	-1.2267	-2.29606	-0.969607	-0.332196	-2.93481	-2.849121e+00	-3.784699e+01	-4.069611e+01
390	-1.17514	-1.10679	-2.44806	0.11062	0.126442	0.0603715	0.424289	-1.44032	-1.3157	-2.29218	-0.883852	-0.869354	-2.22711	-0.8104	-0.805345	-2.60124	-0.352791	-0.510745	-2.92818	-1.478181e+00	-3.881640e+01	-4.029458e+01
400	-0.174845	-1.493	-2.44806	0.444383	0.126442	0.148175	0.43423	-0.817957	-1.52745	-2.29305	-0.481642	-1.54694	-1.84443	-0.254499	-1.26174	-2.27286	-0.19365	-0.742229	-1.74952	-3.933853e+00	-3.838382e+01	-4.231767e+01
410	-0.122247	-2.44234	-2.09048	0.120675	0.121931	0.288438	0.477608	-0.422102	-2.40649	-1.22147	-0.993299	-2.21506	-1.58998	-0.786838	-1.79627	-2.24743	-0.948333	-2.11546	-2.44	-5.808683e+00	-3.676141e+01	-4.257010e+01
420	-0.470752	-2.44234	-1.84891	0.214808	0.0521612	0.141844	0.495977	-0.851389	-2.54176	-2.25958	-1.02507	-2.78674	-2.37403	-0.529319	-2.91765	-1.07971	-0.67016	-2.35856	-1.05662	-6.269279e+00	-3.618433e+01	-4.245361e+01
430	-0.589681	-2.63655	-1.2015	0.120082	0.283907	0.169919	0.472049	-0.723283	-3.06505	-0.968068	-1.14404	-3.73048	-0.628099	-0.589569	-3.55924	-1.42256	-0.334029	-3.91086	-2.26424	-6.936047e+00	-3.694787e+01	-4.388391e+01
440	-0.516908	-4.17236	-0.0743733	0.185454	0.344802	0.268299	0.465319	-1.46638	-3.60083	-0.968068	-1.20229	-4.455	-1.30651	-0.791198	-4.1433	-0.809433	-1.17026	-4.57422	-0.988326	-1.052306e+01	-3.718139e+01	-4.770444e+01
450	-0.503783	-3.73981	-0.880856	0.481113	0.176231	0.449025	0.40736	-0.872401	-3.95903	-2.19557	-0.854648	-4.25262	-2.03662	-0.899491	-4.61291	-0.423777	-1.36066	-4.40291	-0.0546712	-1.189468e+01	-3.961485e+01	-5.150953e+01
460	-0.367613	-4.35094	-0.209858	0.455935	0.267958	0.430898	0.433892	-0.275319	-3.37617	-1.02108	-0.821433	-2.93586	-2.72931	-0.830492	-4.51218	-1.35329	-0.294463	-5.06296	-0.977564	-1.603893e+01	-3.839811e+01	-5.443704e+01
470	-0.832417	-4.18002	-1.3597	0.81936	0.042044	0.965683	0.445032	-0.252519	-4.18076	-1.79264	-1.21586	-3.89953	-1.52141	-0.348712	-4.23678	-3.09748	-0.498737	-4.55417	-2.96476	-1.510318e+01	-3.794150e+01	-5.304468e+01
480	-1.28953	-4.46841	-1.96451	0.159453	0.291774	0.270056	0.49907	-1.18091	-4.99139	-1.77496	-1.15693	-4.36503	-2.48518	-1.41435	-4.99206	-1.45558	-0.700962	-5.61963	-1.59214	-8.658575e+00	-3.609267e+01	-4.475124e+01
490	-1.12347	-4.48566	-1.88942	0.0615363	0.576601	0.941182	0.498795	-1.44614	-3.93061	-2.07817	-1.59896	-4.48176	-2.31517	-1.27457	-4.6087	-2.66446	-1.24571	-4.01091	-1.68028	-1.304334e+01	-3.610076e+01	-4.914410e+01
500	-1.48928	-4.98888	-1.39311	0.151167	0.222432	0.362718	0.491841	-1.68841	-4.79137	-1.18055	-1.45085	-4.37299	-0.403882	-1.64997	-5.80937	-2.2142	-1.31739	-4.8995	-1.52314	-9.531510e+00	-3.630927e+01	-4.584078e+01
510	-1.46619	-5.41077	-0.225538	0.278086	0.0898792	0.201617	0.429512	-1.54851	-5.30635	-0.0803878	-1.1974	-5.07879	-0.260008	-1.70836	-5.49362	-0.0650214	-2.09955	-5.71568	-0.0127988	8.055569e-01	-3.858594e+01	-3.778039e+01
520	-0.413191	-5.12771	-0.359849	0.157249	0.064488	0.208878	0.463924	-0.20007	-4.86178	-0.513406	-0.824605	-4.73459	-0.553159	-0.334288	-5.45298	-0.511816	-0.360573	-5.51095	-0.909557	5.500164e-01	-3.723090e+01	-3.668088e+01
530	-0.947743	-5.30974	-0.618591	0.157249	0.115088	0.276274	0.482089	-0.752646	-5.45025	-1.20733	-0.423924	-4.88201	-1.52959	-0.0922305	-5.22644	-1.06087	-0.577882	-5.31478	-1.04695	-5.224949e+00	-3.661526e+01	-4.184021e+01
540	-0.514063	-5.24069	-0.760902	0.322673	0.0687513	0.133199	0.484446	-0.176819	-5.10887	-1.20733	-0.381867	-5.35939	-0.858169	-0.544518	-5.44755	-1.33999	-1.13818	-5.31143	-1.41429	-2.300819e+00	-3.653980e+01	-3.884061e+01
550	-1.42029	-5.24742	-0.891088	0.254229	0.0837159	0.0671913	0.491214	-1.49039	-5.02818	-1.06649	-1.26861	-4.97837	-0.900804	-0.992478	-5.3241	-1.03885	-0.688175	-5.43556	-0.875334	1.179645e+00	-3.632846e+01	-3.514882e+01
560	-1.61198	-5.03806	-0.971149	0.218976	0.242879	0.135342	0.499089	-1.76248	-4.2911	-1.02843	-1.71771	-4.04524	-1.29696	-0.80462	-5.7535	-1.28934	-1.11304	-5.20842	-1.20782	-5.561556e+00	-3.609210e+01	-4.165366e+01
570	-1.41485	-4.47971	-0.822677	0.421415	0.093904	0.215479	0.492746	-2.07874	-4.55232	-0.571377	-2.06253	-4.64026	-1.58261	-0.81478	-4.47246	-0.812254	-0.408355	-4.5232	-0.928051	-4.995550e+00	-3.628168e+01	-4.127723e+01
580	-1.47851	-4.417	-0.457804	0.109483	0.0859039	0.0854734	0.499524	-1.70986	-4.9259	-0.477551	-1.76857	-5.00655	-0.605491	-0.937517	-4.57169	-0.111924	-1.05763	-4.68339	-0.110648	1.699031e+00	-3.607936e+01	-3.438033e+01
590	-1.29932	-4.94186	-0.127604	0.0708757	0.112674	0.138197	0.458816	-1.82069	-4.89923	-0.108254	-1.76322	-4.38895	-0.0579396	-1.61946	-5.05758	-0.6677	-1.76668	-4.90153	-1.04093	1.596117e-01	-3.741557e+01	-3.725596e+01
600	-1.76519	-5.64074	-0.25027	0.182076	0.27995	0.171814	0.486177	-1.61183	-4.55596	-0.112704	-1.76721	-4.55861	-0.158826	-1.93983	-5.8775	-0.547234	-1.90328	-5.42876	-0.105441	-2.195380e+00	-3.648501e+01	-3.868038e+01
610	-1.54496	-5.68935	-0.6809	0.0721833	0.873521	0.0945992	0.437335	-1.6933	-5.63109	-0.732964	-1.62398	-5.63492	-1.18979	-1.81164	-5.30794	-0.256708	-2.03483	-4.31859	-0.289775	-4.734212e+00	-3.825380e+01	-4.298801e+01
620	-1.98135	-4.62458	-1.37984	0.175675	1.04935	0.126027	0.48773	-1.76244	-5.82036	-1.58742	-1.15999	-5.50786	-1.36758	-1.96963	-4.88535	-0.573563	-1.70036	-4.62315	-0.507378	-9.450235e+00	-3.643630e+01	-4.588653e+01
630	-1.69611	-5.16071	-1.49009	0.137254	0.223154	0.41843	0.452188	-1.74294	-4.96838	-0.821714	-1.65675	-5.28504	-0.689161	-1.50923	-5.25759	-1.8081	-1.66007	-5.08926	-1.68966	-4.120160e+00	-3.766331e+01	-4.178347e+01
640	-1.98098	-4.76672	-2.11537	0.208468	0.227519	0.379185	0.445741	-1.94557	-4.89477	-2.80441	-1.97402	-5.93395	-3.04769	-1.40627	-4.81676	-2.48316	-1.08168	-4.88726	-1.84013	-8.004403e+00	-3.791344e+01	-4.591784e+01
650	-2.10759	-5.13409	-2.69221	0.10342	0.109213	0.351796	0.471894	-1.97346	-5.4839	-4.18647	-1.36934	-5.24061	-3.58902	-1.84783	-4.70256	-2.26707	-1.2989	-4.98986	-2.6862	-7.627085e+00	-3.695314e+01	-4.458022e+01
660	-2.05861	-5.59835	-2.88763	0.0754501	0.123458	0.0795109	0.445178	-1.97239	-5.50065	-2.79428	-1.96481	-5.40981	-2.67059	-1.34359	-5.4175	-3.10464	-1.17273	-5.7905	-2.84606	1.830759e+00	-3.793569e+01	-3.610493e+01
670	-2.09634	-5.69526	-2.90881	0.0631759	0.123458	0.142663	0.470664	-2.05046	-5.69112	-2.6604	-1.7435	-4.91942	-2.60488	-1.52762	-5.8096	-2.41874	-1.84171	-5.48137	-2.69425	-1.561483e+00	-3.699520e+01	-3.855669e+01
680	-1.2955	-5.55028	-2.9144	0.195159	0.0647469	0.123029	0.498709	-1.54307	-5.00736	-3.12734	-2.00275	-5.17186	-2.96679	-0.795327	-5.64038	-3.08686	-1.79765	-5.7314	-2.59725	-4.665178e+00	-3.610331e+01	-4.076848e+01
690	-0.749885	-4.66144	-2.28156	0.202127	0.0977909	0.0645587	0.486469	-0.482649	-4.32118	-2.61217	-0.212714	-4.03536	-2.87751	-0.400939	-4.99596	-2.4284	-1.40478	-5.32002	-2.12297	-3.622452e+00	-3.647582e+01	-4.009827e+01
700	-1.56961	-4.6738	-2.33908	0.128656	0.0877312	0.125983	0.497151	-1.48662	-4.24069	-2.58189	-1.51753	-3.82878	-3.11199	-1.20224	-4.81279	-2.77071	-1.24972	-5.23514	-2.83421	-1.830563e+00	-3.614934e+01	-3.797990e+01
710	-0.535573	-5.66857	-3.19713	0.165632	0.216324	0.148757	0.435195	-1.12409	-5.06967	-3.21979	-1.50849	-4.35133	-3.83597	-1.0272	-4.95767	-3.03735	-1.39613	-5.71898	-2.39668	-8.957929e+00	-3.834315e+01	-4.730108e+01
720	-0.665375	-5.99773	-3.32705	0.554573	0.0596869	0.203598	0.456732	-1.93317	-5.90207	-2.99237	-1.72394	-5.9885	-2.82224	-0.393875	-5.97481	-2.77261	-0.423055	-5.6517	-2.98371	-2.984730e+00	-3.749247e+01	-4.047721e+01
730	-0.465752	-5.9294	-3.35877	0.493971	0.0565746	0.112966	0.484435	-0.147148	-5.84785	-3.59957	-0.518643	-5.83659	-3.47997	-0.416637	-5.94418	-3.11437	-0.711678	-5.65015	-2.99447	9.392462e-01	-3.654014e+01	-3.560089e+01
740	-0.513174	-5.81844	-3.78895	0.775419	0.0445435	0.29012	0.491246	-1.41166	-5.89756	-3.73788	-1.65197	-5.92683	-3.7683	-0.528626	-5.57272	-3.67059	-0.301776	-5.66649	-3.43594	-5.582845e+00	-3.632747e+01	-4.191031e+01
750	-1.16087	-5.78774	-3.82859	0.21921	0.0842243	0.110165	0.433531	-1.44111	-5.7959	-4.10432	-1.33462	-5.95221	-4.17049	-1.33706	-5.60054	-3.30931	-1.6421	-5.1488	-3.37017	7.717294e-03	-3.841344e+01	-3.840572e+01
760	-1.645	-5.47797	-3.87592	0.11038	0.168307	0.186672	0.49001	-1.46528	-5.50305	-3.3327	-1.61546	-5.71391	-3.83325	-1.54077	-5.62658	-3.43477	-1.30781	-5.6989	-3.65301	-8.366474e-01	-3.636550e+01	-3.720215e+01
770	-2.09801	-5.14386	-3.3426	0.339254	0.117957	0.119836	0.497372	-1.86488	-5.20327	-3.52618	-1.94048	-5.12009	-3.22554	-0.785497	-5.90802	-3.48465	-1.14159	-5.77689	-3.92503	-4.666158e+00	-3.614279e+01	-4.080894e+01
780	-1.49024	-5.8836	-3.18129	0.0602478	0.242303	0.106456	0.46949	-2.00677	-5.52131	-3.17614	-1.86029	-5.31016	-3.20169	-1.18977	-5.67754	-3.35445	-0.86608	-5.3455	-3.37167	-4.263248e-01	-3.703564e+01	-3.746196e+01
790	-0.585884	-5.65925	-3.60545	0.451476	0.206695	0.184366	0.491156	-1.7639	-5.92995	-3.21022	-1.71724	-5.95583	-2.68442	-0.694464	-5.13652	-3.33319	-0.53489	-4.92213	-3.59918	-6.523869e+00	-3.633023e+01	-4.285410e+01
800	-1.05337	-5.60828	-3.02533	0.331562	0.642597	0.155406	0.495037	-0.593742	-5.88445	-3.50305	-1.53897	-5.56009	-3.5333	-1.84339	-5.38316	-3.31022	-1.76097	-5.6343	-3.00603	-9.464083e+00	-3.621247e+01	-4.567655e+01
810	-1.11517	-5.54955	-3.88959	0.511128	0.141314	0.171963	0.442952	-0.760155	-5.71655	-4.05543	-1.26534	-5.62639	-4.0536	-1.94007	-5.02452	-3.51595	-1.65967	-4.95809	-3.62944	-4.772031e+00	-3.802453e+01	-4.279656e+01
820	-1.95979	-5.30831	-3.72862	0.071649	0.987754	0.137288	0.476814	-1.86694	-4.01173	-4.17834	-1.67928	-4.36609	-3.74964	-1.91787	-5.27603	-3.41823	-2.07298	-4.42464	-3.86849	-6.986376e+00	-3.678771e+01	-4.377408e+01
830	-1.83344	-5.52262	-4.00372	0.179412	0.165078	0.137288	0.497129	-2.10983	-5.04846	-3.52517	-1.90678	-5.04669	-3.19155	-1.23806	-5.20887	-3.96784	-1.97671	-4.72269	-3.56584	-3.903915e+00	-3.614999e+01	-4.005391e+01
840	-1.8929	-5.53427	-3.21517	0.097601	0.242517	0.125434	0.492069	-1.68608	-5.14801	-3.77699	-1.82352	-5.24236	-3.43487	-1.89291	-5.52458	-3.22965	-1.77971	-5.95955	-3.41208	2.506889e-02	-3.630231e+01	-3.627724e+01
850	-1.58032	-5.46237	-3.96904	0.106185	0.295406	0.169245	0.495205	-1.82222	-5.74332	-4.58467	-1.87026	-5.5051	-3.99592	-1.4345	-4.7674	-3.76496	-1.69989	-4.22116	-3.14685	-5.056464e+00	-3.620743e+01	-4.126389e+01
860	-2.05114	-5.45044	-3.88026	0.163413	0.125178	0.0589675	0.478921	-1.89643	-5.01306	-4.23903	-0.973592	-5.09327	-4.50537	-1.92274	-5.54355	-3.66315	-1.92123	-5.83604	-3.73963	-4.199211e-01	-3.671824e+01	-3.713816e+01
870	-1.57083	-5.88131	-3.52507	0.122488	0.128996	0.153454	0.483576	-1.31548	-5.49163	-3.9542	-1.57358	-4.83401	-4.76329	-1.59192	-5.63852	-3.47909	-1.87768	-5.83391	-3.378	-2.395533e+00	-3.656753e+01	-3.896306e+01
880	-2.03447	-5.35591	-4.45534	0.247694	0.150149	0.168209	0.492369	-2.05119	-5.58806	-4.7948	-1.69934	-5.32502	-4.51	-1.279	-5.27559	-4.17444	-1.43982	-5.80965	-4.47974	-2.508094e+00	-3.629317e+01	-3.880127e+01
890	-1.09193	-5.86242	-3.99834	0.372613	0.0797005	0.407468	0.499237	-1.80324	-5.5046	-3.98305	-1.24779	-5.08396	-4.00661	-1.20891	-5.80507	-3.82394	-0.828338	-5.41775	-3.46744	-7.100894e+00	-3.608776e+01	-4.318866e+01
900	-0.125491	-4.82767	-4.11318	0.333397	0.179151	0.0916602	0.445834	-1.26143	-5.12008	-3.89132	-1.57382	-5.33707	-3.83217	-0.441211	-4.79483	-4.21039	-0.450899	-5.43454	-4.21799	-3.139673e+00	-3.790975e+01	-4.104942e+01
910	-1.46477	-4.55582	-4.50425	0.171319	0.089072	0.0740463	0.492334	-2.10928	-4.96369	-3.89132	-1.70698	-4.83215	-3.82818	-1.52168	-3.77855	-4.76134	-1.02449	-4.4668	-4.5556	-7.946222e+00	-3.629422e+01	-4.424045e+01
920	-1.74418	-4.56349	-4.89497	0.391061	0.225926	0.288181	0.494851	-1.94592	-4.74025	-4.60797	-1.96253	-3.88386	-5.2504	-1.45281	-3.61945	-4.92607	-1.52831	-3.69666	-5.21487	-9.550794e+00	-3.621804e+01	-4.576884e+01
930	-1.09649	-3.97511	-4.36845	0.23437	0.193612	0.177592	0.458279	-0.943258	-4.02472	-4.6815	-1.00151	-3.12814	-4.49731	-1.42704	-3.03329	-5.25231	-1.65652	-2.75429	-4.78722	-9.355394e+00	-3.743530e+01	-4.679070e+01
940	-1.95049	-2.39539	-5.07351	0.187352	0.433438	0.583342	0.482937	-1.74826	-2.70035	-4.89493	-1.81693	-1.9999	-3.70054	-0.89137	-3.42366	-5.70553	-0.845775	-3.62553	-4.79942	-1.448616e+01	-3.658798e+01	-5.107414e+01
950	-1.32232	-1.08842	-5.24034	0.155457	0.625091	0.44886	0.497162	-1.45455	-2.01449	-4.89055	-1.65689	-0.0690768	-3.31806	-0.752485	-2.2644	-5.50849	-0.873801	-2.96052	-5.47442	-1.743448e+01	-3.614904e+01	-5.358351e+01
