iter	M_lnV_dist(1)	M_lnk_e(1)	V_lnV_dist(1)	V_lnk_e(1)	Ve_lnC_rest(1)	lnV_dist(1.1)	lnk_e(1.1)	lnV_dist(1.1.1)	lnk_e(1.1.1)	lnV_dist(1.2)	lnk_e(1.2)	lnV_dist(1.2.1)	lnk_e(1.2.1)	LnPrior	LnData	LnPosterior
960	-1.14688	-2.41272	0.344347	0.410616	0.462479	-0.937701	-2.38064	-1.24286	-2.71346	-1.8103	-1.24139	-1.14717	-0.697464	-7.197175e+00	-3.728261e+01	-4.447979e+01
980	-2.29764	-2.78851	0.171774	0.214447	0.491108	-2.28452	-2.43418	-1.91758	-2.74192	-2.56427	-2.88153	-1.94624	-3.09261	1.748461e+00	-3.633170e+01	-3.458324e+01
1000	-2.26382	-2.76674	0.145801	0.143886	0.477866	-1.93452	-2.2385	-2.16062	-1.49892	-2.31289	-2.62106	-1.84968	-2.65526	6.003247e-01	-3.675291e+01	-3.615258e+01
1020	-1.44461	-2.62571	0.216087	0.178835	0.497724	-2.01297	-2.69341	-2.30497	-2.40883	-1.54811	-1.8256	-1.68692	-2.13805	-1.769801e+00	-3.613236e+01	-3.790216e+01
1040	-1.62626	-2.06215	0.0429532	0.110511	0.491474	-1.38147	-2.49255	-1.08721	-2.26619	-1.72518	-2.71689	-1.39736	-3.10391	-2.096330e+00	-3.632048e+01	-3.841681e+01
1060	-2.10468	-2.84281	0.202759	0.036117	0.49511	-1.19327	-2.70729	-1.31339	-2.60596	-2.52	-2.87298	-2.04812	-2.62938	8.428072e-01	-3.621027e+01	-3.536746e+01
1080	-1.59784	-1.64096	0.270559	0.23118	0.470748	-1.50615	-2.31695	-1.52659	-2.5242	-1.34904	-2.46367	-1.50886	-2.6414	-3.949569e+00	-3.699233e+01	-4.094189e+01
1100	-1.39369	-2.79398	0.267658	0.0803634	0.485091	-0.681923	-2.49449	-1.42869	-2.38705	-1.19284	-2.73847	-0.744366	-2.82104	-3.382655e-01	-3.651933e+01	-3.685760e+01
1120	-0.35629	-2.59674	0.439638	0.270375	0.460172	-0.528031	-1.86173	-0.731531	-1.89452	-0.777079	-2.02378	-1.39356	-1.82715	-4.604734e+00	-3.736605e+01	-4.197078e+01
1140	-0.904131	-1.73127	0.207806	0.209513	0.492152	-0.53391	-1.6873	-0.127815	-1.03711	-1.46112	-1.38012	-1.28413	-1.52043	-2.631064e+00	-3.629977e+01	-3.893083e+01
1160	-1.23897	-1.99793	0.165555	0.249931	0.475589	-0.786632	-2.01006	-1.20824	-1.30477	-1.61815	-2.14408	-1.6281	-2.22859	-2.244771e+00	-3.682846e+01	-3.907323e+01
1180	-1.91478	-2.32445	0.219695	0.151192	0.49306	-2.037	-2.3858	-1.99683	-2.65557	-2.43411	-2.30634	-1.82415	-2.67098	4.546852e-01	-3.627215e+01	-3.581746e+01
1200	-1.54823	-0.145526	0.0671939	0.319553	0.477961	-2.08079	-0.529545	-2.65482	-1.86602	-1.7664	-0.275796	-1.8275	-0.867566	-5.699735e+00	-3.674977e+01	-4.244951e+01
1220	-2.56575	-1.56108	0.142695	0.233513	0.472345	-2.67722	-0.845995	-2.51499	-0.2094	-2.68945	-0.866237	-2.03075	-1.383	-5.625204e-01	-3.693777e+01	-3.750029e+01
1240	-2.40024	-2.79739	0.157078	0.334181	0.488835	-2.3914	-2.70006	-2.1237	-2.81624	-2.58066	-2.33945	-1.77552	-1.88775	1.978854e-01	-3.640187e+01	-3.620398e+01
1260	-2.64109	-2.28506	0.587323	0.0322732	0.466343	-2.40471	-2.37733	-2.77201	-2.55859	-1.61484	-2.34343	-1.56011	-2.33277	-2.881080e+00	-3.714528e+01	-4.002636e+01
1280	-2.60091	-1.85913	0.388881	0.166486	0.482154	-1.99813	-2.05405	-1.13533	-1.38616	-1.78625	-1.63635	-1.10791	-0.901846	-6.499322e+00	-3.661316e+01	-4.311249e+01
1300	-1.44939	-2.14943	0.317003	0.119588	0.494111	-1.38427	-2.49109	-2.20143	-2.51763	-1.75079	-1.75611	-1.6218	-1.25794	-2.810696e+00	-3.624036e+01	-3.905105e+01
1320	-1.58631	-1.27153	0.0865174	0.181436	0.473085	-1.96984	-0.581292	-1.76676	-0.782415	-2.14133	-1.15884	-1.73099	-0.272542	-3.550367e+00	-3.691269e+01	-4.046306e+01
1340	-1.76318	-0.910586	0.565105	0.160247	0.492971	-1.71724	-0.778882	-0.667513	-0.220279	-2.15197	-0.385611	-1.71907	-0.402774	-5.293097e+00	-3.627486e+01	-4.156796e+01
1360	-1.19476	-0.471586	0.0974073	0.145924	0.482728	-1.07745	-0.753727	-0.781884	-0.943403	-1.42016	-0.386929	-1.6601	-0.123079	2.252467e+00	-3.659471e+01	-3.434224e+01
1380	-1.67534	-0.408125	0.132562	0.0528399	0.453094	-1.47361	-0.61439	-1.28013	-0.603519	-1.51334	-0.311135	-0.777278	-0.166391	1.491815e+00	-3.762888e+01	-3.613706e+01
1400	-1.87285	-0.453467	0.118867	0.16412	0.48188	-1.69162	-0.699811	-1.60365	-0.543753	-2.31346	-0.304199	-2.0169	-0.373278	2.880503e+00	-3.662201e+01	-3.374150e+01
1420	-2.7186	-0.898277	0.0754868	0.133709	0.493457	-2.78795	-0.866638	-2.30915	-0.695096	-2.78199	-1.09814	-1.87505	-0.821593	2.956240e+00	-3.626011e+01	-3.330387e+01
1440	-2.81723	-0.440509	0.00630739	0.114281	0.488203	-2.81533	-0.477908	-2.80102	-0.159651	-2.78199	-0.665221	-2.00482	-0.637154	inf	-3.642152e+01	inf
1460	-2.77288	-0.245944	0.00630739	0.415643	0.460736	-2.69833	-0.865115	-2.71017	-0.825265	-2.78199	-0.0666235	-2.00482	-0.720203	inf	-3.734556e+01	inf
1480	-2.65329	-0.459323	0.00630739	0.165677	0.492092	-2.78897	-0.840037	-2.73855	-1.04446	-2.78199	-0.498915	-2.00482	-0.347326	inf	-3.630160e+01	inf
1500	-2.71335	-0.992285	0.00630739	0.539876	0.459294	-2.66915	-1.92745	-2.61311	-1.56228	-2.78199	-1.41468	-2.00482	-1.29887	inf	-3.739807e+01	inf
1520	-2.71567	-1.7664	0.00630739	0.178896	0.494292	-2.72741	-1.18664	-2.74749	-0.763638	-2.78199	-1.98874	-2.00482	-2.05231	inf	-3.623487e+01	inf
1540	-2.79383	-1.37555	0.00630739	0.137044	0.480328	-2.72534	-1.56741	-2.78876	-1.18367	-2.78199	-1.66088	-2.00482	-1.50723	inf	-3.667228e+01	inf
1560	-2.72859	-0.523063	0.00630739	0.378234	0.491292	-2.82618	-2.10838	-2.81949	-1.47849	-2.78199	-0.425504	-2.00482	-1.30316	inf	-3.632606e+01	inf
1580	-2.75519	-0.274264	0.00630739	0.176933	0.484384	-2.79005	-0.603242	-2.7893	-0.62779	-2.78199	-0.517514	-2.00482	-0.545971	inf	-3.654178e+01	inf
1600	-2.81809	-0.583205	0.00630739	0.0269053	0.484033	-2.76092	-0.616693	-2.63772	-0.481011	-2.78199	-0.571728	-2.00482	-0.698392	inf	-3.655296e+01	inf
1620	-2.78862	-0.749781	0.00630739	0.0880169	0.480755	-2.68007	-1.03474	-2.7349	-1.423	-2.78199	-0.474915	-2.00482	-0.112734	inf	-3.665840e+01	inf
1640	-2.79246	-1.06814	0.00630739	0.1203	0.485872	-2.81552	-0.798748	-2.79011	-1.06442	-2.78199	-0.919322	-2.00482	-1.00378	inf	-3.649463e+01	inf
1660	-2.81023	-0.342968	0.00630739	0.098156	0.479183	-2.67671	-0.321375	-2.59045	-0.4116	-2.78199	-0.338832	-2.00482	-0.48971	inf	-3.670963e+01	inf
1680	-2.79699	-0.337498	0.00630739	0.129319	0.49225	-2.69524	-0.955922	-2.64993	-1.14921	-2.78199	-0.372271	-2.00482	-0.313632	inf	-3.629680e+01	inf
1700	-2.79977	-0.380163	0.00630739	0.164077	0.499525	-2.75622	-0.530804	-2.70153	-0.767016	-2.78199	-0.332473	-2.00482	-0.217911	inf	-3.607932e+01	inf
1720	-2.80443	-0.460787	0.00630739	0.133943	0.467702	-2.71098	-0.7551	-2.69809	-1.0572	-2.78199	-0.574849	-2.00482	-0.595335	inf	-3.709769e+01	inf
1740	-2.76255	-0.305848	0.00630739	0.264966	0.461882	-2.75373	-0.715952	-2.70697	-0.104721	-2.78199	-0.488797	-2.00482	-0.213165	inf	-3.730410e+01	inf
1760	-2.71917	-0.743374	0.00630739	0.119723	0.448306	-2.80434	-0.646037	-2.67116	-0.61705	-2.78199	-1.16136	-2.00482	-0.811127	inf	-3.781279e+01	inf
1780	-2.8197	-1.24295	0.00630739	0.0616027	0.476223	-2.70853	-1.13328	-2.68675	-1.36963	-2.78199	-1.04069	-2.00482	-0.575172	inf	-3.680735e+01	inf
1800	-2.81985	-1.1752	0.00630739	0.0828528	0.480724	-2.79625	-0.740766	-2.68327	-0.550213	-2.78199	-1.26321	-2.00482	-1.33596	inf	-3.665939e+01	inf
1820	-2.79995	-0.824585	0.00630739	0.837983	0.485338	-2.82264	-0.694749	-2.76303	-0.220009	-2.78199	-1.93128	-2.00482	-2.78851	inf	-3.651149e+01	inf
1840	-2.77967	-1.80165	0.00630739	0.165553	0.487213	-2.75853	-2.34171	-2.72395	-2.58675	-2.78199	-1.50182	-2.00482	-1.20736	inf	-3.645247e+01	inf
1860	-2.68463	-2.27834	0.00630739	0.592231	0.460407	-2.77565	-2.55639	-2.79718	-2.12416	-2.78199	-2.03942	-2.00482	-1.69054	inf	-3.735749e+01	inf
1880	-2.75594	-2.80411	0.00630739	0.174803	0.492664	-2.71916	-2.77493	-2.68138	-2.7318	-2.78199	-2.56396	-2.00482	-2.5965	inf	-3.628417e+01	inf
1900	-2.70323	-2.77745	0.00630739	0.0910984	0.48089	-2.67839	-2.41459	-2.67125	-2.55085	-2.78199	-2.19658	-2.00482	-2.11884	inf	-3.665401e+01	inf
1920	-2.76238	-2.86702	0.00630739	0.0898552	0.462145	-2.74198	-2.78095	-2.79374	-2.88697	-2.78199	-2.70567	-2.00482	-1.78058	inf	-3.729463e+01	inf
1940	-2.73568	-2.14459	0.00630739	0.318787	0.491231	-2.66715	-2.38787	-2.74265	-2.58203	-2.78199	-2.50053	-2.00482	-3.87248	inf	-3.632793e+01	inf
1960	-2.67641	-2.81904	0.00630739	0.12901	0.441197	-2.59051	-2.36121	-2.69995	-2.10642	-2.78199	-2.78968	-2.00482	-2.7604	inf	-3.809538e+01	inf
1980	-2.78689	-2.5976	0.00630739	0.0933677	0.497937	-2.78164	-2.59468	-2.68007	-2.70125	-2.78199	-2.53996	-2.00482	-2.9909	inf	-3.612606e+01	inf
2000	-2.69758	-2.53421	0.00630739	0.161796	0.460015	-2.74498	-2.62258	-2.68732	-2.79517	-2.78199	-2.79994	-2.00482	-2.72017	inf	-3.737178e+01	inf
2020	-2.70806	-1.48714	0.00630739	0.133428	0.488924	-2.65149	-1.18047	-2.60735	-1.77872	-2.78199	-1.46381	-2.00482	-1.20102	inf	-3.639909e+01	inf
2040	-2.81748	-1.51342	0.00630739	0.183347	0.47089	-2.66962	-1.07134	-2.65791	-0.797431	-2.78199	-1.59694	-2.00482	-1.32122	inf	-3.698747e+01	inf
2060	-2.75482	-1.80773	0.00630739	0.0820938	0.485347	-2.68885	-1.85221	-2.7138	-1.55165	-2.78199	-2.14594	-2.00482	-1.89686	inf	-3.651122e+01	inf
2080	-2.74972	-2.23346	0.00630739	0.09562	0.408804	-2.69963	-2.15055	-2.55708	-2.36261	-2.78199	-1.84725	-2.00482	-2.15802	inf	-3.954349e+01	inf
2100	-2.63072	-1.90545	0.00630739	0.0586309	0.448093	-2.56278	-2.27854	-2.44023	-2.7897	-2.78199	-1.81643	-2.00482	-1.67646	inf	-3.782108e+01	inf
2120	-2.7815	-2.00829	0.00630739	0.324857	0.473797	-2.65999	-2.45818	-2.63528	-1.94073	-2.78199	-1.30167	-2.00482	-0.806125	inf	-3.688861e+01	inf
2140	-2.7021	-0.534414	0.00630739	0.0606217	0.478673	-2.65616	-0.547122	-2.7147	-0.564498	-2.78199	-0.525474	-2.00482	-0.816516	inf	-3.672637e+01	inf
2160	-2.70353	-0.277273	0.00630739	0.803679	0.496098	-2.77362	-0.321324	-2.78489	-2.23654	-2.78199	-0.870055	-2.00482	-1.61908	inf	-3.618071e+01	inf
2180	-2.75956	-0.0874004	0.00630739	0.136068	0.442945	-2.62955	-0.146815	-2.72974	-0.111184	-2.78199	-0.295473	-2.00482	-0.35681	inf	-3.802479e+01	inf
2200	-2.60193	-0.164751	0.00630739	0.488111	0.46637	-2.65662	-0.258957	-2.46368	-0.527296	-2.78199	-0.0612557	-2.00482	-0.477423	inf	-3.714435e+01	inf
2220	-2.78402	-0.658214	0.00630739	0.0789644	0.495439	-2.74401	-0.892844	-2.81762	-1.0871	-2.78199	-0.76852	-2.00482	-0.81967	inf	-3.620041e+01	inf
2240	-2.70122	-0.699711	0.00630739	0.217348	0.497127	-2.6778	-0.698313	-2.63667	-0.131816	-2.78199	-0.434309	-2.00482	-0.37985	inf	-3.615006e+01	inf
2260	-2.76019	-0.343494	0.00630739	0.0739608	0.479138	-2.72389	-0.285546	-2.70413	-0.0805563	-2.78199	-0.808873	-2.00482	-0.801834	inf	-3.671111e+01	inf
2280	-2.77422	-0.112061	0.00630739	0.152297	0.495163	-2.80294	-0.552861	-2.82975	-0.0797355	-2.78199	-0.727983	-2.00482	-0.752697	inf	-3.620868e+01	inf
2300	-2.7311	-0.472628	0.00630739	0.149358	0.496487	-2.775	-0.743177	-2.81905	-0.768986	-2.78199	-0.625895	-2.00482	-0.696384	inf	-3.616909e+01	inf
2320	-2.80623	-0.141332	0.00630739	0.152648	0.461747	-2.80696	-0.215171	-2.82086	-0.356446	-2.78199	-0.214741	-2.00482	-0.11612	inf	-3.730897e+01	inf
2340	-2.74746	-0.464564	0.00630739	0.538228	0.459212	-2.6953	-0.350941	-2.64393	-0.594031	-2.78199	-0.66897	-2.00482	-0.43308	inf	-3.740108e+01	inf
2360	-2.77149	-1.7488	0.00630739	0.0973696	0.452907	-2.78146	-1.3037	-2.70477	-1.14503	-2.78199	-1.69148	-2.00482	-1.6769	inf	-3.763598e+01	inf
2380	-2.79129	-1.15903	0.00630739	0.0751086	0.477312	-2.67939	-0.897662	-2.62491	-1.35295	-2.78199	-1.30071	-2.00482	-1.2182	inf	-3.677120e+01	inf
2400	-2.77791	-1.63015	0.00630739	0.0737655	0.457803	-2.8008	-1.66297	-2.69929	-1.99268	-2.78199	-1.27256	-2.00482	-1.63276	inf	-3.745284e+01	inf
2420	-2.67894	-0.222747	0.00630739	0.268155	0.489871	-2.70204	-0.315204	-2.73382	-1.20467	-2.78199	-0.735729	-2.00482	-0.283954	inf	-3.636977e+01	inf
2440	-2.66045	-0.588868	0.00630739	1.11591	0.495614	-2.55851	-1.41405	-2.53716	-1.15204	-2.78199	-0.642867	-2.00482	-0.946852	inf	-3.619518e+01	inf
2460	-2.8208	-2.07387	0.00630739	0.973418	0.456571	-2.7788	-2.14278	-2.77955	-1.65468	-2.78199	-2.26208	-2.00482	-4.69758	inf	-3.749846e+01	inf
2480	-2.75444	-2.74272	0.00630739	0.126399	0.485817	-2.79174	-2.72152	-2.73584	-2.57058	-2.78199	-2.58011	-2.00482	-2.4805	inf	-3.649635e+01	inf
2500	-2.75335	-2.37668	0.00630739	0.338135	0.482343	-2.629	-2.74061	-2.56428	-2.61468	-2.78199	-2.64091	-2.00482	-1.98296	inf	-3.660707e+01	inf
2520	-2.80077	-2.53527	0.00630739	0.178713	0.480769	-2.65947	-2.1863	-2.54751	-2.74012	-2.78199	-1.97167	-2.00482	-2.45201	inf	-3.665794e+01	inf
2540	-2.79049	-2.04627	0.00630739	0.291985	0.488349	-2.77958	-2.14575	-2.68766	-2.01857	-2.78199	-2.53971	-2.00482	-3.52643	inf	-3.641696e+01	inf
2560	-2.75228	-1.8639	0.00630739	0.20091	0.478287	-2.67609	-1.81416	-2.78678	-2.46794	-2.78199	-2.37212	-2.00482	-2.37727	inf	-3.673904e+01	inf
2580	-2.75825	-2.76754	0.00630739	0.0588377	0.462223	-2.73493	-2.81663	-2.69304	-2.81889	-2.78199	-2.78283	-2.00482	-2.95826	inf	-3.729182e+01	inf
2600	-2.7391	-2.35971	0.00630739	0.189634	0.454945	-2.81961	-1.27433	-2.74036	-1.02064	-2.78199	-2.08434	-2.00482	-2.17587	inf	-3.755915e+01	inf
2620	-2.77389	-1.13818	0.00630739	0.42914	0.460217	-2.79131	-1.70594	-2.76337	-1.3228	-2.78199	-2.24263	-2.00482	-0.459307	inf	-3.736440e+01	inf
2640	-2.81927	-1.03016	0.00630739	0.255042	0.47916	-2.82193	-1.00736	-2.7018	-1.26789	-2.78199	-1.4337	-2.00482	-2.20397	inf	-3.671039e+01	inf
2660	-2.80842	-0.384975	0.00630739	1.75928	0.492027	-2.71897	-1.92143	-2.65686	-0.961868	-2.78199	-1.11552	-2.00482	-0.774364	inf	-3.630360e+01	inf
2680	-2.81109	-1.65261	0.00630739	0.485879	0.456522	-2.77114	-2.58848	-2.79094	-2.82005	-2.78199	-1.45988	-2.00482	-0.0667792	inf	-3.750028e+01	inf
2700	-2.76231	-1.60524	0.00630739	0.252861	0.487227	-2.71863	-1.86566	-2.80035	-1.47451	-2.78199	-0.653989	-2.00482	-0.917724	inf	-3.645201e+01	inf
