"","Substance","CAS","Orange","ToxCast","Tox21","ExpoCast","NHANES","MW","Expo.Total_median","Expo.Total_95perc","Boiling.Point.Ave.exp","Boiling.Point.Ave.prd","Boiling.Point.Med.exp","Boiling.Point.Med.prd","Boiling.Point.Rng.exp","Boiling.Point.Rng.prd","Boiling.Point.Deg","LogP.Ave.exp","LogP.Ave.prd","LogP.Med.exp","LogP.Med.prd","LogP.Rng.exp","LogP.Rng.prd","LogP","Type","Rev.CAS"
"22","CHLORPYRIFOS","2921-88-2",0,1,1,1,1,350.59,2.3e-08,1.39e-06,"160 (1)","350 (3)",160,350,"160","305 to 377","C","4.96 (1)","4.91 (4)",4.96,4.91,4.96,"4.66 to 5.18",4.96,"EXP","0"
"23","DI(2-ETHYLHEXYL)PHTHALATE","117-81-7",0,1,1,1,1,390.56,0.00017,0.0114,"308 (4)","399 (3)",230,399,"230 to 386","383 to 417","C","7.60 (1)","7.69 (4)",7.6,7.69,7.6,"7.33 to 8.39",7.6,"EXP","0"
"24","2,4,6-TRICHLOROPHENOL","88-06-2",0,1,1,1,1,197.45,9.37e-09,8.04e-07,"246 (5)","243 (3)",246,243,"245 to 246","232 to 262","C","3.69 (1)","3.36 (4)",3.69,3.36,3.69,"3.03 to 3.67",3.69,"EXP","0"
"25","2,4-DINITROPHENOL","51-28-5",0,1,1,1,NA,184.11,6.19e-08,3.2e-06,"113 (1)","328 (3)",113,328,"113","306 to 344","C","1.67 (1)","1.64 (4)",1.67,1.64,1.67,"1.43 to 1.79",1.67,"EXP","0"
"26","2,4-DINITROTOLUENE","121-14-2",0,1,1,1,NA,182.13,3.63e-08,3.07e-06,"300 (2)","300 (3)",300,300,"300","297 to 305","C","1.98 (1)","1.96 (4)",1.98,1.96,1.98,"1.62 to 2.18",1.98,"EXP","0"
"27","ETHION","563-12-2",0,1,1,1,1,384.48,1.18e-07,7.78e-06,"150 (1)","385 (3)",150,385,"150","345 to 415","C","5.07 (1)","4.60 (4)",5.07,4.6,5.07,"4.04 to 4.90",5.07,"EXP","0"
"28","DIMETHYLARSINIC ACID","75-60-5",0,1,1,1,NA,138,4.32e-08,2.63e-06,NA,"176 (1)",NA,176,NA,NA,"C",NA,"1.18e-01 (2)",NA,0.118,NA,"-0.124 to 0.36",0.36,"EST","0"
"29","AZINPHOS-METHYL","86-50-0",0,1,1,1,1,317.32,2.03e-08,1.65e-06,NA,"369 (3)",NA,369,NA,"323 to 455","C","2.75 (1)","2.59 (4)",2.75,2.59,2.75,"2.21 to 3.17",2.75,"EXP","0"
"30","2,4,5-TRICHLOROPHENOL","95-95-4",0,1,1,1,1,197.45,1.23e-08,1.3e-06,"248 (2)","245 (3)",248,245,"248","229 to 262","C","3.72 (1)","3.52 (4)",3.72,3.52,3.72,"3.07 to 3.83",3.72,"EXP","0"
"31","DICOFOL","115-32-2",0,1,1,1,NA,370.49,1.16e-07,5.24e-06,"225 (1)","372 (3)",225,372,"225","350 to 398","C","5.02 (1)","5.04 (4)",5.02,5.04,5.02,"4.13 to 5.81",5.02,"EXP","0"
"32","PARATHION","56-38-2",0,1,1,1,1,291.26,8.86e-08,5.21e-06,"375 (2)","349 (3)",375,349,"375","314 to 372","C","3.83 (1)","3.62 (4)",3.83,3.62,3.83,"3.48 to 3.77",3.83,"EXP","0"
"33","CRESOL, PARA-","106-44-5",0,1,1,1,NA,108.14,3.96e-06,0.000251,"202 (7)","196 (3)",202,196,"201 to 202","191 to 199","C","1.94 (1)","1.99 (4)",1.94,1.99,1.94,"1.67 to 2.13",1.94,"EXP","0"
"34","PHENOL","108-95-2",0,1,1,1,NA,94.11,8.76e-05,0.00551,"181 (5)","180 (3)",181,180,"181 to 182","170 to 195","C","1.46 (2)","1.55 (4)",1.46,1.55,1.46,"1.23 to 1.80",1.46,"EXP","0"
"35","MERCURIC CHLORIDE","7487-94-7",0,1,1,1,NA,271.5,2.17e-08,2.77e-06,"302 (3)",NA,NA,NA,NA,NA,"C",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"36","DDT, O,P'-","789-02-6",0,1,1,1,1,354.49,1.16e-07,7.4e-06,NA,"345 (3)",NA,345,NA,"329 to 368","C",NA,"6.14 (4)",NA,6.14,NA,"5.73 to 6.79",6.79,"EST","0"
"37","4,6-DINITRO-O-CRESOL","534-52-1",0,1,1,1,NA,198.13,7.19e-08,5.42e-06,"378 (1)","336 (3)",378,336,"378","311 to 353","C","2.13 (1)","1.98 (4)",2.13,1.98,2.13,"1.50 to 2.30",2.12,"EXP","0"
"38","1,2,3-TRICHLOROBENZENE","87-61-6",0,1,1,1,NA,181.45,2.19e-07,1.49e-05,"219 (4)","209 (3)",219,209,"218 to 219","206 to 215","C","4.05 (1)","3.73 (4)",4.05,3.73,4.05,"3.23 to 3.99",4.05,"EXP","0"
"39","LEAD","7439-92-1",0,NA,NA,NA,1,207.2,NA,NA,"1740 (1)","485 (1)",1740,485,"1740",NA,"C",NA,"0.73 (1)",NA,0.73,NA,NA,NA,NA,"0"
"40","CADMIUM","7440-43-9",0,NA,NA,NA,1,112.41,NA,NA,"766 (2)","485 (1)",766,485,"765 to 767",NA,"C",NA,"-0.0700 (1)",NA,-0.07,NA,NA,NA,NA,"0"
"41","CHROMIUM, HEXAVALENT","18540-29-9",0,NA,NA,NA,NA,51.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"42","COBALT","7440-48-4",0,NA,NA,NA,NA,58.93,NA,NA,"3000 (2)","483 (1)",3000,483,"2900 to 3100",NA,"C",NA,"0.23 (1)",NA,0.23,NA,NA,0.23,"EST","0"
"43","NICKEL","7440-02-0",0,NA,NA,NA,NA,58.69,NA,NA,"2780 (2)","483 (1)",2780,483,"2730 to 2840",NA,"C",NA,"-0.570 (1)",NA,-0.57,NA,NA,NA,NA,"0"
"44","ZINC","7440-66-6",0,NA,NA,NA,1,65.39,NA,NA,NA,"483 (1)",NA,483,NA,NA,"C",NA,"-0.470 (1)",NA,-0.47,NA,NA,NA,NA,"0"
"45","METHYLMERCURY","22967-92-6",0,NA,NA,NA,NA,216.6326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"46","2,3',4,4',5-Pentachlorobiphenyl","31508-00-6",0,NA,NA,NA,1,326.436,NA,NA,NA,"340 (3)",NA,340,NA,"309 to 378","C","7.12 (1)","6.06 (3)",7.12,6.06,7.12,"5.20 to 6.98",7.12,"EXP","0"
"47","HEXACHLOROCYCLOHEXANE, BETA-","319-85-7",0,1,1,1,1,290.83,9.76e-08,4.8e-06,NA,"283 (3)",NA,283,NA,"245 to 304","C","3.72 (1)","3.87 (4)",3.72,3.87,3.72,"3.63 to 4.26",3.78,"EXP","0"
"48","2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN","1746-01-6",0,NA,1,1,1,321.9736,1.69e-08,1.52e-06,NA,"362 (3)",NA,362,NA,"345 to 379","C","6.80 (1)","6.19 (4)",6.8,6.19,6.8,"5.39 to 6.92",6.8,"EXP","0"
"49","HEXACHLOROBENZENE","118-74-1",0,NA,1,1,1,284.78,2.03e-06,0.000154,"313 (4)","297 (3)",323,297,"323 to 326","291 to 304","C","5.73 (1)","5.27 (4)",5.73,5.27,5.73,"4.60 to 5.86",5.73,"EXP","0"
"50","HEXACHLOROCYCLOHEXANE, TECHNICAL GRADE","608-73-1",0,NA,1,1,1,290.83,1e-07,6.28e-06,NA,"283 (3)",NA,283,NA,"245 to 304","C",NA,"3.87 (4)",NA,3.87,NA,"3.63 to 4.26",4.26,"EST","0"
"51","CHLORDANE, TECHNICAL","12789-03-6",0,NA,1,1,1,409.7814,1.14e-07,6.13e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26,"EST","0"
"52","POLYCHLORINATED BIPHENYLS","1336-36-3",0,NA,NA,1,1,189.664,2.71e-05,0.00207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,"EXP","0"
"53","1,2,3,4,6,7,8,9-OCTACHLORODIBENZOFURAN","39001-02-0",0,NA,NA,NA,1,443.755,NA,NA,NA,"418 (3)",NA,418,NA,"386 to 458","C","8.60 (1)","7.85 (3)",8.6,7.85,8.6,"7.15 to 8.87",8.6,"EXP","0"
"54","2,3,4,7,8-PENTACHLORODIBENZOFURAN","57117-31-4",0,NA,NA,NA,1,340.4197,NA,NA,NA,"354 (3)",NA,354,NA,"326 to 402","C","6.92 (1)","5.86 (3)",6.92,5.86,6.92,"5.30 to 6.94",6.92,"EXP","0"
"55","2,3,7,8-TETRACHLORODIBENZOFURAN","51207-31-9",0,NA,NA,NA,1,305.9746,NA,NA,NA,"349 (3)",NA,349,NA,"329 to 383","C","6.53 (1)","5.14 (3)",6.53,5.14,6.53,"4.51 to 6.29",6.53,"EXP","0"
"56","1,2,3,4,6,7,8-HEPTACHLORODIBENZOFURAN","67562-39-4",0,NA,NA,NA,1,409.31,NA,NA,NA,"391 (3)",NA,391,NA,"355 to 439","C","7.92 (1)","7.25 (3)",7.92,7.25,7.92,"6.23 to 8.23",7.92,"EXP","0"
"57","2,4-D ACID","94-75-7",0,1,1,1,1,221.04,3.85e-07,3.37e-05,"222 (3)","311 (3)",160,311,"160 to 345","291 to 329","C","2.81 (1)","2.62 (4)",2.81,2.62,2.81,"2.44 to 2.91",2.81,"EXP","0"
"58","DIURON","330-54-1",0,1,1,1,NA,233.09,1.31e-08,1.12e-06,"183 (3)","327 (3)",180,327,"180 to 190","313 to 354","C","2.68 (1)","2.62 (4)",2.68,2.62,2.68,"2.45 to 2.74",2.68,"EXP","0"
"59","PYRENE","129-00-0",0,1,1,1,1,202.25,1.47e-06,7.52e-05,"399 (4)","375 (3)",393,375,"393 to 404","372 to 380","C","4.88 (2)","4.69 (4)",4.88,4.69,4.88,"4.07 to 4.93",4.88,"EXP","0"
"60","METOLACHLOR","51218-45-2",0,1,1,1,1,283.79,8.02e-08,3.55e-06,NA,"318 (3)",NA,318,NA,"282 to 383","C","3.13 (1)","3.08 (4)",3.13,3.08,3.13,"2.79 to 3.28",3.13,"EXP","0"
"61","simazine","122-34-9",0,1,1,1,NA,201.66,1.04e-08,9.79e-07,NA,"307 (3)",NA,307,NA,"276 to 338","C","2.18 (1)","2.37 (4)",2.18,2.37,2.18,"2.02 to 2.78",2.18,"EXP","0"
"62","Fluorene","86-73-7",0,1,1,1,1,166.22,7.25e-08,6.33e-06,"295 (5)","286 (3)",295,286,"295","276 to 293","C","4.18 (1)","3.52 (4)",4.18,3.52,4.18,"2.77 to 4.02",4.18,"EXP","0"
"63","Biphenyl","92-52-4",0,1,1,1,NA,154.21,2.27e-06,0.000152,"255 (6)","254 (3)",254,254,"254 to 255","220 to 273","C","4.01 (2)","3.72 (4)",4.01,3.72,4.01,"3.65 to 3.78",3.98,"EXP","0"
"64","Anthracene","120-12-7",0,1,1,1,NA,178.23,8.61e-07,6.07e-05,"340 (5)","326 (3)",340,326,"337 to 342","315 to 337","C","4.45 (2)","4.20 (4)",4.45,4.2,4.45,"3.36 to 4.68",4.45,"EXP","0"
"65","Atrazine","1912-24-9",0,1,1,1,1,215.68,6.56e-08,4.12e-06,NA,"312 (3)",NA,312,NA,"284 to 339","C","2.61 (1)","2.76 (4)",2.61,2.76,2.61,"2.50 to 3.05",2.61,"EXP","0"
"66","Propazine","139-40-2",0,1,1,1,NA,229.71,7.85e-08,4.45e-06,NA,"318 (3)",NA,318,NA,"294 to 340","C","2.93 (1)","3.15 (4)",2.93,3.15,2.93,"2.80 to 3.57",2.93,"EXP","0"
"67","Prometryn","7287-19-6",0,1,1,1,NA,241.36,6.9e-08,3.87e-06,NA,"349 (3)",NA,349,NA,"341 to 358","C","3.51 (1)","3.44 (4)",3.51,3.44,3.51,"3.12 to 3.73",3.51,"EXP","0"
"68","Prometon","1610-18-0",0,1,1,1,NA,225.29,7.95e-08,3.69e-06,NA,"320 (3)",NA,320,NA,"296 to 340","C","2.99 (1)","3.01 (4)",2.99,3.01,2.99,"2.52 to 3.57",2.99,"EXP","0"
"69","Terbacil","5902-51-2",0,1,1,1,NA,216.66,7.54e-08,3.15e-06,NA,"326 (3)",NA,326,NA,"280 to 396","C","1.89 (1)","1.84 (4)",1.89,1.84,1.89,"1.75 to 1.97",1.89,"EXP","0"
"70","Oxyfluorfen","42874-03-3",0,1,1,1,NA,361.7,1.3e-07,8.98e-06,"358 (1)","364 (3)",358,364,"358","344 to 396","C","4.73 (1)","4.46 (4)",4.73,4.46,4.73,"3.62 to 5.21",4.73,"EXP","0"
"71","Molinate","2212-67-1",0,1,1,1,NA,187.3,5.99e-08,4.46e-06,NA,"254 (3)",NA,254,NA,"228 to 299","C","3.21 (1)","2.74 (4)",3.21,2.74,3.21,"2.29 to 3.16",3.21,"EXP","0"
"72","S-Ethyl-N,N-Dipropylthiocarbamate","759-94-4",0,1,1,1,NA,189.32,5.95e-08,4.78e-06,"127 (1)","240 (3)",127,240,"127","216 to 288","C","3.21 (1)","3.13 (4)",3.21,3.13,3.21,"3.02 to 3.29",3.21,"EXP","0"
"73","Cycloate","1134-23-2",0,1,1,1,NA,215.36,8.41e-08,5.98e-06,NA,"273 (3)",NA,273,NA,"242 to 323","C","3.88 (1)","3.75 (4)",3.88,3.75,3.88,"3.63 to 3.92",3.88,"EXP","0"
"74","Bromacil","314-40-9",0,1,1,1,NA,261.12,8.46e-08,6.3e-06,NA,"332 (3)",NA,332,NA,"280 to 421","C","2.11 (1)","1.91 (4)",2.11,1.91,2.11,"1.68 to 2.09",2.11,"EXP","0"
"75","DICAMBA","1918-00-9",0,1,1,1,NA,221.04,1.26e-08,1.04e-06,NA,"308 (3)",NA,308,NA,"293 to 329","C","2.21 (1)","2.33 (4)",2.21,2.33,2.21,"1.98 to 2.79",2.21,"EXP","0"
"76","PICLORAM","1918-02-1",0,1,1,1,NA,241.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.90 (1)","1.85 (4)",1.9,1.85,1.9,"1.36 to 2.45",0.3,"EXP","1"
"77","PENDIMENTHALIN","40487-42-1",0,1,1,1,NA,281.31,1.66e-08,1.19e-06,"330 (1)","352 (3)",330,352,"330","327 to 394","C","5.20 (1)","4.57 (4)",5.2,4.57,5.2,"4.14 to 4.89",5.18,"EXP","0"
"78","ISOXAFLUTOLE","141112-29-0",0,1,1,1,NA,359.32,1.97e-08,1.83e-06,NA,"370 (3)",NA,370,NA,"311 to 424","C","2.32 (1)","2.52 (4)",2.32,2.52,2.32,"2.25 to 2.75",2.32,"EXP","0"
"79","ACETOCHLOR","34256-82-1",0,1,1,1,1,269.77,9.51e-08,5.65e-06,NA,"322 (3)",NA,322,NA,"291 to 378","C","3.03 (1)","3.01 (4)",3.03,3.01,3.03,"2.70 to 3.37",3.03,"EXP","0"
"80","IMAZAPYR","81334-34-1",0,1,1,1,NA,261.28,9.23e-08,4.17e-06,NA,"371 (3)",NA,371,NA,"276 to 538","C","0.22 (1)","7.84e-01 (4)",0.22,0.784,0.22,"8.60e-02 to 1.57",0.22,"EXP","0"
"81","IMAZAPIC","104098-48-8",0,1,1,1,NA,275.3,8.54e-08,5.45e-06,NA,"377 (3)",NA,377,NA,"300 to 529","C","2.47 (1)","1.60 (4)",2.47,1.6,2.47,"1.41 to 1.90",2.47,"EXP","0"
"82","AMETRYN","834-12-8",0,1,1,1,NA,227.33,8.11e-08,5.09e-06,"345 (1)","344 (3)",345,344,"345","341 to 349","C","2.98 (1)","3.10 (4)",2.98,3.1,2.98,"2.90 to 3.32",2.98,"EXP","0"
"83","HEXAZINONE","51235-04-2",0,1,1,1,NA,252.31,7.69e-08,5.4e-06,NA,"343 (3)",NA,343,NA,"295 to 408","C","1.85 (1)","1.90 (4)",1.85,1.9,1.85,"1.70 to 2.15",1.85,"EXP","0"
"84","METSULFURON METHYL","74223-64-6",0,NA,1,1,NA,381.36,2.2e-08,2.52e-06,NA,"382 (3)",NA,382,NA,"265 to 562","C","2.20 (1)","1.66 (4)",2.2,1.66,2.2,"1.36 to 2.00",2.2,"EXP","0"
"85","Acenaphthylene 2000 μg/mL","208-96-8",0,1,1,1,NA,152.19,1.05e-07,1e-05,"280 (2)","283 (3)",280,283,"280","275 to 291","C","3.94 (1)","3.40 (4)",3.94,3.4,3.94,"2.60 to 3.94",3.94,"EXP","0"
"86","Metribuzin","21087-64-9",0,1,1,1,NA,214.29,1.2e-08,9.76e-07,NA,"322 (3)",NA,322,NA,"300 to 367","C","1.54 (2)","1.62 (4)",1.37,1.62,1.37,"1.49 to 1.75",1.7,"EXP","0"
"87","HALOSULFURON METHYL","100784-20-1",0,NA,NA,1,NA,434.81,NA,NA,NA,"394 (3)",NA,394,NA,"281 to 595","C","-0.0200 (1)","7.72e-01 (4)",-0.02,0.772,-0.02,"0.4 to 1.02",-0.02,"EXP","0"
"88","BENZENE","71-43-2",0,NA,1,1,1,78.11,9.13e-06,0.000786,"80.0 (6)","90.5 (3)",80,90.5,"80.0 to 80.2","75.7 to 102","C","2.13 (2)","2.08 (4)",2.13,2.08,2.13,"1.89 to 2.48",2.13,"EXP","0"
"89","BENZO(A)PYRENE","50-32-8",0,NA,1,1,1,252.31,1.37e-06,9.19e-05,"495 (3)","444 (3)",495,444,"495","428 to 462","C","6.13 (1)","5.49 (4)",6.13,5.49,6.13,"4.61 to 6.30",6.13,"EXP","0"
"90","DIBENZO(A,H)ANTHRACENE","53-70-3",0,NA,1,1,NA,278.35,1.27e-06,9.46e-05,"524 (2)","481 (3)",524,481,"524","465 to 508","C","6.75 (1)","6.11 (4)",6.75,6.11,6.75,"5.07 to 6.80",6.75,"EXP","0"
"91","BENZO(K)FLUORANTHENE","207-08-9",0,NA,1,1,NA,252.31,1.16e-06,7.41e-05,"480 (2)","420 (3)",480,420,"480","355 to 462","C","6.11 (1)","5.46 (4)",6.11,5.46,6.11,"4.71 to 6.11",6.11,"EXP","0"
"92","XYLENES, TOTAL","1330-20-7",0,NA,1,1,NA,106.17,9.12e-05,0.00981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16,"EXP","0"
"93","TOLUENE","108-88-3",0,NA,1,1,1,92.14,8.61e-05,0.00614,"111 (5)","118 (4)",111,118,"111","107 to 128","C","2.73 (2)","2.56 (4)",2.73,2.56,2.73,"2.37 to 2.73",2.73,"EXP","0"
"94","ETHYLBENZENE","100-41-4",0,NA,1,1,1,106.17,8.32e-05,0.00629,"136 (4)","145 (4)",136,145,"135 to 136","134 to 155","C","3.15 (2)","3.06 (4)",3.15,3.06,3.15,"2.89 to 3.27",3.15,"EXP","0"
"95","CHRYSENE","218-01-9",0,NA,1,1,1,228.29,1.18e-06,6.47e-05,"448 (3)","410 (3)",448,410,"448","399 to 421","C","5.81 (1)","5.27 (4)",5.81,5.27,5.81,"4.42 to 5.65",5.81,"EXP","0"
"96","2-METHYLNAPHTHALENE","91-57-6",0,NA,1,1,NA,142.2,5.78e-07,3.41e-05,"241 (5)","236 (3)",241,236,"239 to 243","212 to 250","C","3.86 (1)","3.39 (4)",3.86,3.39,3.86,"2.90 to 3.94",3.86,"EXP","0"
"97","PHENANTHRENE","85-01-8",0,1,1,1,1,178.23,1.21e-06,8.72e-05,"339 (5)","326 (3)",340,326,"336 to 340","315 to 337","C","4.46 (2)","4.24 (4)",4.46,4.24,4.46,"3.36 to 4.72",4.46,"EXP","0"
"98","STYRENE","100-42-5",0,NA,1,1,1,104.15,8.38e-05,0.00639,"145 (5)","143 (3)",145,143,"145 to 146","141 to 147","C","2.95 (2)","2.91 (4)",2.95,2.91,2.95,"2.66 to 3.25",2.95,"EXP","0"
"99","1-Methylnaphthalene","90-12-0",0,1,1,1,NA,142.2,1.35e-06,8.86e-05,"242 (5)","235 (3)",242,235,"240 to 245","209 to 250","C","3.87 (1)","3.39 (4)",3.87,3.39,3.87,"2.90 to 3.94",3.87,"EXP","0"
"100","1,2,4-Trimethylbenzene","95-63-6",0,1,1,1,NA,120.19,5.18e-05,0.00415,"169 (7)","169 (3)",169,169,"168 to 171","167 to 171","C","3.63 (1)","3.44 (4)",3.63,3.44,3.63,"2.77 to 3.91",3.63,"EXP","0"
"101","Isopropalin","33820-53-0",0,1,1,1,NA,309.36,1.01e-07,5.89e-06,NA,"363 (3)",NA,363,NA,"342 to 407","C",NA,"5.10 (4)",NA,5.1,NA,"4.29 to 5.80",5.8,"EST","0"
"102","Pebulat","1114-71-2",0,NA,1,1,NA,203.34,7.21e-08,4.29e-06,"202 (1)","246 (3)",202,246,"202","203 to 303","C","3.83 (1)","3.64 (4)",3.83,3.64,3.83,"3.37 to 3.88",3.83,"EXP","0"
"103","TERBUTRYN","886-50-0",0,NA,1,1,NA,241.36,1.46e-08,1.03e-06,"401 (1)","344 (3)",401,344,"401","339 to 349","C","3.74 (1)","3.62 (4)",3.74,3.62,3.74,"3.32 to 3.88",3.74,"EXP","0"
"104","HEDONAL (Carbamate)","93-65-2",0,NA,1,1,NA,214.65,7.16e-08,3.57e-06,"298 (1)","301 (3)",298,301,"298","282 to 326","C","3.13 (1)","2.81 (4)",3.13,2.81,3.13,"2.43 to 3.01",3.13,"EXP","0"
"105","a-Methylstyrene","98-83-9",0,NA,1,1,NA,118.18,7.88e-06,0.000624,"168 (5)","163 (3)",168,163,"166 to 173","163 to 165","C","3.48 (1)","3.31 (4)",3.48,3.31,3.48,"3.14 to 3.45",3.48,"EXP","0"
"106","Pentane","109-66-0",0,NA,1,1,NA,72.15,7.37e-06,0.000596,"35.9 (5)","43.1 (3)",36,43.1,"35.0 to 36.1","39.4 to 46.0","C","3.39 (2)","3.03 (4)",3.39,3.03,3.39,"2.80 to 3.30",3.39,"EXP","0"
