Order,SUBSTANCE.NAME,CAS_trimmed,toxcast,tox21,expocast,nhanes
341,Thalidomide,50-35-1,1,1,1,0
342,Tetraethylthiuram disulfide,97-77-8,1,1,1,0
343,Saccharin Sodium Salt hydrate,82385-42-0,1,1,1,0
344,Hydroxyurea,127-07-1,1,1,1,0
345,Carbamic acid,55406-53-6,1,1,1,0
346,"3,3’,5,5’-Tetrabromobisphenol A",79-94-7,1,1,1,0
347,Acetylsalicylic acid,50-78-2,1,1,1,0
348,Triphenyl phosphate,115-86-6,1,1,1,0
349,5-Fluorouracil,51-21-8,1,1,1,0
350,Colchicine,64-86-8,1,1,1,0
351,Acetaminophen,103-90-2,1,1,1,0
352,Sucrose,57-50-1,1,1,1,0
353,Propyl gallate,121-79-9,1,1,1,0
354,Maltol,118-71-8,1,1,1,0
355,Citric acid,77-92-9,1,1,1,0
356,Methylparaben,99-76-3,1,1,1,0
357,tert-Butylhydro-quinone (TBHQ),1948-33-0,1,1,1,0
358,Hexylresorcinol,136-77-6,1,1,1,0
359,chlorpromazine Hydrochloride,69-09-0,1,1,1,0
360,2-Amino-4-chlorophenol,95-85-2,0,1,1,0
361,p-Quinone,106-51-4,0,1,1,0
362,Triamterene,396-01-0,0,1,1,0
363,1-Methyl-Alpha-Ionone,7779-30-8,0,1,1,0
364,Alizarin Yellow R (Mordant Orange 1),2243-76-7,0,1,1,0
365,Titanocene dichloride,1271-19-8,0,1,1,0
366,Retinal,116-31-4,0,1,1,0
367,"3,4-Dichlorophenyl isocyanate",102-36-3,0,1,1,0
368,verapamil hydrochloride,152-11-4,0,1,1,0
369,Nifedipine,21829-25-4,0,1,1,0
370,amitriptyline hydrochloride,549-18-8,0,1,1,0
371,Tricresyl phosphate,1330-78-5,0,1,1,0
372,tert-Butylphenyl diphenyl phosphate,56803-37-3,0,1,1,0
373,"Phenol, isopropylated, phosphate (3:1)",68937-41-7,0,1,1,0
374,"Manganese, tricarbonyl",12108-13-3,0,1,1,0
375,Isodecyl diphenyl phosphate,29761-21-5,0,1,1,0
376,"Dibenz[a,c]anthracene",215-58-7,0,1,1,0
377,Benzo(e)pyrene,192-97-2,0,1,1,0
378,"Acetic acid, manganese(2+) salt",638-38-0,0,1,1,0
379,"3,3'-Iminodipropionitrile",111-94-4,0,1,1,0
380,2- ethylhexyl diphenyl phosphate,1241-94-7,0,1,1,0
381,Valproic acid sodium salt,1069-66-5,0,1,1,0
382,Methyl mercuric (II) chloride,115-09-3,0,1,1,0
383,mexiletine hydrochloride,5370-01-4,0,1,1,0
384,Lignocaine (Lidocaine),137-58-6,0,1,1,0
385,diltiazem,42399-41-7,0,1,1,0
386,nitrendipine,39562-70-4,0,1,1,0
387,loratadine,79794-75-5,0,1,1,0
388,Xylitol,87-99-0,0,1,1,0
389,Lisinopril,83915-83-7,0,1,1,0
390,Glucono-δ-lactone,90-80-2,0,1,1,0
391,Atenolol,29122-68-7,0,1,1,0
392,Aspartame,22839-47-0,0,1,1,0
393,D-Glucitol,50-70-4,0,1,1,0
394,Biotin,58-85-5,0,1,1,0
395,Ascorbic acid,50-81-7,0,1,1,0
396,ranolazine,95635-55-5,0,1,1,0
397,Terfenadine,50679-08-8,0,1,1,0
398,Propafenone,54063-53-5,0,1,1,0
399,Quinine·HCl·2H2O,6119-47-7,0,1,1,0
400,ibutilide fumarate,122647-32-9,0,1,1,0
401,sotalol hydrochloride,959-24-0,0,1,1,0
402,moxifloxacin hydrochloride,186826-86-8,0,1,1,0
403,lamotrigine,84057-84-1,0,1,1,0
404,dofetilide,115256-11-6,0,1,1,0
405,Progesterone,57-83-0,1,1,1,0
406,Tamoxifen citrate,54965-24-1,1,1,1,0
407,Tamoxifen,10540-29-1,1,1,1,0
408,4-Hydroxytamoxifen (E/Z),68392-35-8,1,1,1,0
409,Spironolactone,52-01-7,1,1,1,0
410,Procymidone,32809-16-8,1,1,1,0
411,Phenobarbital Sodium,57-30-7,1,1,1,0
412,Ketoconazole,65277-42-1,1,1,1,0
413,Hydroxyflutamide,52806-53-8,1,1,1,0
414,Haloperidol,52-86-8,1,1,1,0
415,Flutamide,13311-84-7,1,1,1,0
416,Cycloheximide,66-81-9,1,1,1,0
417,Corticosterone,50-22-6,1,1,1,0
418,p-n-Nonylphenol,104-40-5,1,1,1,0
419,Ethylparaben,120-47-8,1,1,1,0
420,17alpha-Methyltestosterone,58-18-4,1,1,1,0
421,Genistein,446-72-0,1,1,1,0
422,Daidzein,486-66-8,1,1,1,0
423,Bisphenol B,77-40-7,1,1,1,0
424,5alpha-Dihydrotestosterone,521-18-6,1,1,1,0
425,4-Cumylphenol,599-64-4,1,1,1,0
426,Estrone,53-16-7,1,1,1,0
427,4-tert-Octylphenol,140-66-9,1,1,1,0
428,17alpha-Estradiol,57-91-0,1,1,1,0
429,meso-Hexestrol,84-16-2,1,1,1,0
430,17alpha-Ethinyl estradiol,57-63-6,1,1,1,0
431,Kaempferol,520-18-3,0,1,1,0
432,Chrysin,480-40-0,0,1,1,0
433,Apigenin,520-36-5,0,1,1,0
434,Methimazole,60-56-0,1,1,1,0
435,Benzophenone 2,131-55-5,1,1,1,0
436,Z-Tetrachlorvinphos,22248-79-9,0,1,1,0
437,Levothyroxine (T4),51-48-9,0,1,1,0
438,Iopanoic acid,96-83-3,0,1,1,0
439,ARSENIC,7440-38-2,0,0,0,0
440,MERCURY,7439-97-6,0,0,0,0
441,VINYL CHLORIDE,75-01-4,0,0,0,0
442,POLYCYCLIC AROMATIC HYDROCARBONS,130498-29-2,0,0,0,0
443,AROCLOR 1254,11097-69-1,0,0,0,0
444,"PHOSPHORUS, WHITE",7723-14-0,0,0,0,0
445,AROCLOR 1242,53469-21-9,0,0,0,0
446,COAL TAR CREOSOTE,8001-58-9,0,0,0,0
447,AROCLOR 1248,12672-29-6,0,0,0,0
448,AROCLOR,12767-79-2,0,0,0,0
449,CYANIDE,57-12-5,0,0,0,0
450,"HEXACHLOROCYCLOHEXANE, DELTA-",319-86-8,0,0,0,0
451,BERYLLIUM,7440-41-7,0,0,0,0
452,AROCLOR 1221,11104-28-2,0,0,0,0
453,CIS-CHLORDANE,5103-71-9,0,0,0,0
454,ENDRIN KETONE,53494-70-5,0,0,0,0
455,DIBROMOCHLOROPROPANE,67708-83-2,0,0,0,0
456,TRANS-CHLORDANE,5103-74-2,0,0,0,0
457,"ENDOSULFAN, BETA",33213-65-9,0,0,0,0
458,CHROMIUM(VI) TRIOXIDE,1333-82-0,0,0,0,0
459,AROCLOR 1232,11141-16-5,0,0,0,0
460,ENDRIN ALDEHYDE,7421-93-4,0,0,0,0
461,METHANE,74-82-8,0,0,0,0
462,2-HEXANONE,591-78-6,0,0,0,0
463,BENZOFLUORANTHENE,56832-73-6,0,0,0,0
464,CHROMIUM,7440-47-3,0,0,0,0
465,AROCLOR 1240,71328-89-7,0,0,0,0
466,"2,4,6-TRINITROTOLUENE",118-96-7,0,0,0,0
467,BROMODICHLOROETHANE,683-53-4,0,0,0,0
468,THIOCYANATE,302-04-5,0,0,1,0
469,ASBESTOS,1332-21-4,0,0,0,0
470,RADIUM-226,13982-63-3,0,0,0,0
471,URANIUM,7440-61-1,0,0,0,0
472,RADIUM,7440-14-4,0,0,0,0
473,THORIUM,7440-29-1,0,0,0,0
474,CHLORINE,7782-50-5,0,0,0,0
475,"1,3,5-TRINITROBENZENE",99-35-4,0,0,0,0
476,RADON,10043-92-2,0,0,0,0
477,RADIUM-228,15262-20-1,0,0,0,0
478,THORIUM-230,14269-63-7,0,0,0,0
