"","idChemical","strName","strCAS","strMF","Source","Type","numValue","RfDConsistent","dateAssessed","strHyperlink","strDateAssessed","strReference","POD type","numPOD","strUnitsPOD","BMR Type","strCriticalEffect","Adjusted","Route to Route","Animal to Human","strDR","numUF","numUFa","numUFh","numUFs","numUFl","numUFd","numUFother","UFsConsistent","strUFother","strRelatedCompound","Species","Strain","Sex","Route","intHoursPerDay","intDaysPerWeek","strDuration","Duration type","Organ","tblOrgan_strSex","strMOA","idEffect","Effect","tblEffect_strSex","DR Type","strEffectPOD","CV Type","strDoseUnits","strResponseUnits","strDoseConvertedUnits","strDoseHEqUnits","strComment","intDoseOrder","numDose","numDoseConverted","numDoseHEq","intAnimals","intAnimalsEffected","numMeanResponse","numSDResponse"
"11",80,"2,4-Dinitrotoluene","121142","C7H6N2O4","CalEPA","Oral Slope Factor (1/mg/kg-day)",0.31,NA,NA,"http://www.oehha.ca.gov/air/hot_spots/2009/AppendixB.pdf","6/1/2009","Lee CC, Ellis HV, Kowalski JJ, Hodgson JR, Short RD, Jagdis BC, Reddig TW and Minor JL. 1978. Mammalian toxicity of munition compounds. Phase II. Effects of multiple doses and Phase III. Effects of lifetime exposure. Part II. 2,4-Dinitrotoluene. US Army Medical Bioengineering Research and Development Laboratory. Contract No. DAMD-17-74-C-4073. Midwest Research Institute, Kansas City, MO. NTIS ADA 061715.

US Environmental Protection Agency (US EPA). May, 1987. Health Effects Assessment for 2,4- and 2,6-Dinitrotoluene. Prepared by the Environmental Criteria and Assessment Office. Office of Health and Environmental Assessment. Office of Research and Development. Cincinnati, OH 45268. EPA/600/8-88/032.",NA,NA,NA,"10% ER","combined liver and mamary gland tumors","NA","None","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rat","CD","M/F","Oral diet",NA,NA,"720","Days","combined","Both","None",2670,"neoplasia","F","Dichotomous","combined liver and mamary gland tumors",NA,"ppm",NA,"mg/kg/day",NA,NA,NA,0,0,NA,31,11,NA,NA
"12",80,"2,4-Dinitrotoluene","121142","C7H6N2O4","ATSDR","Chronic Oral MRL (mg/kg/day)",0.002,1,NA,"http://www.atsdr.cdc.gov/ToxProfiles/tp109.pdf","12/1998","Ellis HV, Hagensen JH, Hodgson JR, et al. 1979. Mammalian toxicity of munitions compounds. Phase BI:
Effects of lifetime exposure. Part I. 2,4-Dinitrotoluene. Final report no. 7. Midwest Research Institute,
Kansas City, MO. Contract no. DAMD 17-74-C-4073, ADA077 692.
Ellis HV, Hong CB, Lee CC, et al. 1985. Subchronic and chronic toxicity studies of 2,4-dinitrotoluene.
Part I. Beagle dog. J Am Co11 Toxicol 4:233-242.","NOAEL",0.2,"mg/kg","NA","hematological effects","NA","None","None","No",100,10,10,NA,NA,NA,NA,TRUE,NA,NA,"Dog","Beagle","M/F","Oral - other",NA,NA,"24","Months","blood","Both","MOA Determination",4429,"hematology","Both","Continuous","Hematological effects: Heinz bodies and methemoglobinemia",NA,NA,NA,NA,NA,"Individual animal data were reported in the primary reference (Ellis et al. 1979, Table 2, page 31).  Group means and SDs were not given.",NA,NA,NA,NA,NA,NA,NA,NA
"13",80,"2,4-Dinitrotoluene","121142","C7H6N2O4","IRIS","RfD (mg/kg/day)",0.002,1,1993-02-01,"http://www.epa.gov/iris/subst/0524.htm","2/1/1993","Ellis, H.V., C.B. Hong, C.C. Lee, J.C. Dacre and J.P. Glennon. 1985. Subchronic and chronic toxicity studies of 2,4-dinitrotoluene. Part I. Beagle dogs. J. Am. College Toxicol. 4(4): 233-242.","NOAEL",0.2,"mg/kg/day","NA","Neurotoxicity, Heinz bodies and biliary tract hyperplasia","No","None","None","Yes",100,10,10,NA,NA,NA,NA,TRUE,NA,NA,"Dog","Beagle","M/F","Oral - other",NA,NA,"2","Years","CNS","Both","None",477,"neurobehavior","Both","Dichotomous","Neurotoxicity",NA,"mg/kg/day",NA,NA,NA,"2,4-DNT was administered daily in gelatin capsules; dose-response data are from the primary report.",NA,0,NA,NA,12,0,NA,NA
"14",80,"2,4-Dinitrotoluene","121142","C7H6N2O4","IRIS","RfD (mg/kg/day)",0.002,1,1993-02-01,"http://www.epa.gov/iris/subst/0524.htm","2/1/1993","Ellis, H.V., C.B. Hong, C.C. Lee, J.C. Dacre and J.P. Glennon. 1985. Subchronic and chronic toxicity studies of 2,4-dinitrotoluene. Part I. Beagle dogs. J. Am. College Toxicol. 4(4): 233-242.","NOAEL",0.2,"mg/kg/day","NA","Neurotoxicity, Heinz bodies and biliary tract hyperplasia","No","None","None","Yes",100,10,10,NA,NA,NA,NA,TRUE,NA,NA,"Dog","Beagle","M/F","Oral - other",NA,NA,"2","Years","blood","Both","None",2152,"hematology","F",NA,"Heinz bodies","SE","mg/kg/day","%",NA,NA,"2,4-DNT was administered daily in gelatin capsules; dose-response data following 2 years of exposure were not reported, data below are measurements taken after 3 months of exposure (from Table 2 of the primary report).",NA,0,NA,NA,6,NA,0,0
"15",80,"2,4-Dinitrotoluene","121142","C7H6N2O4","CalEPA","Inhalation Unit Risk (1/μg/m3)",8.9e-05,NA,NA,"http://www.oehha.ca.gov/air/hot_spots/2009/AppendixB.pdf","6/1/2009","Lee CC, Ellis HV, Kowalski JJ, Hodgson JR, Short RD, Jagdis BC, Reddig TW and Minor JL. 1978. Mammalian toxicity of munition compounds. Phase II. Effects of multiple doses and Phase III. Effects of lifetime exposure. Part II. 2,4-Dinitrotoluene. US Army Medical Bioengineering Research and Development Laboratory. Contract No. DAMD-17-74-C-4073. Midwest Research Institute, Kansas City, MO. NTIS ADA 061715.

US Environmental Protection Agency (US EPA). May, 1987. Health Effects Assessment for 2,4- and 2,6-Dinitrotoluene. Prepared by the Environmental Criteria and Assessment Office. Office of Health and Environmental Assessment. Office of Research and Development. Cincinnati, OH 45268. EPA/600/8-88/032.",NA,NA,NA,"10% ER","combined liver and mamary gland tumors","NA","Simple","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rat","CD","M/F","Oral diet",NA,NA,"720","Days","combined","Both","None",2673,"neoplasia","F","Dichotomous","combined liver and mamary gland tumors",NA,NA,NA,NA,NA,"IUR was calculated from the cancer slope factor (see accompanying record) using an assumed human breathing rate of 20 m3/day, 70 kg human body weight, and 100% fractional absorption after inhalation exposure.",NA,NA,NA,NA,NA,NA,NA,NA
"16",80,"2,4-Dinitrotoluene","121142","C7H6N2O4","IRIS","RfD (mg/kg/day)",0.002,1,1993-02-01,"http://www.epa.gov/iris/subst/0524.htm","2/1/1993","Ellis, H.V., C.B. Hong, C.C. Lee, J.C. Dacre and J.P. Glennon. 1985. Subchronic and chronic toxicity studies of 2,4-dinitrotoluene. Part I. Beagle dogs. J. Am. College Toxicol. 4(4): 233-242.","NOAEL",0.2,"mg/kg/day","NA","Neurotoxicity, Heinz bodies and biliary tract hyperplasia","No","None","None","Yes",100,10,10,NA,NA,NA,NA,TRUE,NA,NA,"Dog","Beagle","M/F","Oral - other",NA,NA,"2","Years","blood","Both","None",432,"hematology","M","Continuous","Heinz bodies","SE","mg/kg/day","%",NA,NA,"2,4-DNT was administered daily in gelatin capsules; dose-response data following 2 years of exposure were not reported, data below are measurements taken after 3 months of exposure (from Table 2 of the primary report).",NA,0,NA,NA,6,NA,0,0
"17",80,"2,4-Dinitrotoluene","121142","C7H6N2O4","IRIS","RfD (mg/kg/day)",0.002,1,1993-02-01,"http://www.epa.gov/iris/subst/0524.htm","2/1/1993","Ellis, H.V., C.B. Hong, C.C. Lee, J.C. Dacre and J.P. Glennon. 1985. Subchronic and chronic toxicity studies of 2,4-dinitrotoluene. Part I. Beagle dogs. J. Am. College Toxicol. 4(4): 233-242.","NOAEL",0.2,"mg/kg/day","NA","Neurotoxicity, Heinz bodies and biliary tract hyperplasia","No","None","None","Yes",100,10,10,NA,NA,NA,NA,TRUE,NA,NA,"Dog","Beagle","M/F","Oral - other",NA,NA,"2","Years","CNS","Both","None",478,"nonneoplastic histopathology","Both","Dichotomous","Neurotoxicity",NA,NA,NA,NA,NA,"2,4-DNT was administered daily in gelatin capsules and lesions including gliosis, edema, and demyelination of the cerebellum, spinal cord, and brain stem were observed.  Incidence not provided in primary reporte.",NA,NA,NA,NA,NA,NA,NA,NA
"18",80,"2,4-Dinitrotoluene","121142","C7H6N2O4","IRIS","RfD (mg/kg/day)",0.002,1,1993-02-01,"http://www.epa.gov/iris/subst/0524.htm","2/1/1993","Ellis, H.V., C.B. Hong, C.C. Lee, J.C. Dacre and J.P. Glennon. 1985. Subchronic and chronic toxicity studies of 2,4-dinitrotoluene. Part I. Beagle dogs. J. Am. College Toxicol. 4(4): 233-242.","NOAEL",0.2,"mg/kg/day","NA","Neurotoxicity, Heinz bodies and biliary tract hyperplasia","No","None","None","Yes",100,10,10,NA,NA,NA,NA,TRUE,NA,NA,"Dog","Beagle","M/F","Oral - other",NA,NA,"2","Years","liver","Both","None",431,"nonneoplastic histopathology","Both","Dichotomous","biliary tract hyperplasia",NA,NA,NA,NA,NA,"2,4-DNT was administered daily in gelatin capsules",NA,NA,NA,NA,NA,NA,NA,NA
"19",80,"2,4-Dinitrotoluene","121142","C7H6N2O4","IRIS","RfD (mg/kg/day)",0.002,1,1993-02-01,"http://www.epa.gov/iris/subst/0524.htm","2/1/1993","Ellis, H.V., C.B. Hong, C.C. Lee, J.C. Dacre and J.P. Glennon. 1985. Subchronic and chronic toxicity studies of 2,4-dinitrotoluene. Part I. Beagle dogs. J. Am. College Toxicol. 4(4): 233-242.","NOAEL",0.2,"mg/kg/day","NA","Neurotoxicity, Heinz bodies and biliary tract hyperplasia","No","None","None","Yes",100,10,10,NA,NA,NA,NA,TRUE,NA,NA,"Dog","Beagle","M/F","Oral - other",NA,NA,"2","Years","liver","Both","None",431,"nonneoplastic histopathology","Both","Dichotomous","biliary tract hyperplasia",NA,NA,NA,NA,NA,"2,4-DNT was administered daily in gelatin capsules.  Primary report states that ""most dogs given 10 mg/kg/day and some dogs given 1.5 mg/kg/day in the chronic study had hyperplasia of the biliary tract."" Incidence data were not reported.",NA,NA,NA,NA,NA,NA,NA,NA
"20",465,"Acenaphthene","83329","C12H10","IRIS","RfD (mg/kg/day)",0.06,0.97,1994-04-01,"http://www.epa.gov/iris/subst/0442.htm","4/1/1994","U.S. EPA. 1989. Mouse oral subchronic study with acenaphthene. Study conducted by Hazelton Laboratories, Inc., for the Office of Solid Waste, Washington, DC.","NOAEL",175,"mg/kg/day","NA","Hepatotoxicity","No","None","None","No",3000,10,10,10,NA,3,NA,TRUE,NA,NA,"Mouse","CD-1","M/F","Oral gavage",NA,7,"90","Days","liver","Both","None",1256,"nonneoplastic histopathology","M","Dichotomous","Hepatotoxicity; hepatocellular hypertrophy",NA,"mg/kg-day",NA,NA,NA,"Minimal or slight",NA,0,NA,NA,20,2,NA,NA
"21",465,"Acenaphthene","83329","C12H10","IRIS","RfD (mg/kg/day)",0.06,0.97,1994-04-01,"http://www.epa.gov/iris/subst/0442.htm","4/1/1994","U.S. EPA. 1989. Mouse oral subchronic study with acenaphthene. Study conducted by Hazelton Laboratories, Inc., for the Office of Solid Waste, Washington, DC.","NOAEL",175,"mg/kg/day","NA","Hepatotoxicity","No","None","None","No",3000,10,10,10,NA,3,NA,TRUE,NA,NA,"Mouse","CD-1","M/F","Oral gavage",NA,7,"90","Days","liver","Both","None",4051,"nonneoplastic histopathology","F","Dichotomous","Hepatotoxicity; hepatocellular hypertrophy",NA,"mg/kg-day",NA,NA,NA,"Minimal or slight",NA,0,NA,NA,20,0,NA,NA
"22",211,"Aldrin","309002","C12H8Cl6","CalEPA","Oral Slope Factor (mg/kg-day)-1",17,NA,NA,"http://oehha.ca.gov/risk/ChemicalDB/index.asp","1993","NCI (National Cancer Institute). 1978. Bioassays of aldrin and dieldrin for possible carcinogenicity. DHE",NA,NA,NA,NA,"liver carcinoma",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","B6C3F1","M/F","Oral diet",NA,NA,"80","Weeks","liver","M","None",2761,"neoplasia","M","Dichotomous","liver carcinoma",NA,"ppm",NA,NA,"mg/kg-day",NA,NA,0,NA,0,20,3,NA,NA
"23",211,"Aldrin","309002","C12H8Cl6","CalEPA","Oral Slope Factor (mg/kg-day)-1",17,NA,NA,"http://oehha.ca.gov/risk/ChemicalDB/index.asp","1993","Davis, K.J. 1965. Pathology report on mice fed dieldrin, aldrin, heptachlor, or heptachlor epoxide for two years. Internal FDA memorandum to Dr. A.J. Lehrman, July 19.

NCI (National Cancer Institute). 1978. Bioassays of aldrin and dieldrin for possible
carcinogenicity. DHE",NA,NA,NA,"Other","liver carcinoma","No","None","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","C3H","M/F","Oral diet",NA,NA,"2","Years","liver","Both","None",4381,"neoplasia","M","Dichotomous","liver carcinoma",NA,"ppm",NA,NA,"mg/kg/day",NA,NA,0,NA,0,73,22,NA,NA
"24",211,"Aldrin","309002","C12H8Cl6","CalEPA","Oral Slope Factor (mg/kg-day)-1",17,NA,NA,"http://oehha.ca.gov/risk/ChemicalDB/index.asp","1993","Davis, K.J. 1965. Pathology report on mice fed dieldrin, aldrin, heptachlor, or heptachlor epoxide for two years. Internal FDA memorandum to Dr. A.J. Lehrman, July 19.

NCI (National Cancer Institute). 1978. Bioassays of aldrin and dieldrin for possible
carcinogenicity. DHE",NA,NA,NA,"Other","liver carcinoma","No","None","BW2/3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","C3H","M/F","Oral diet",NA,NA,"2","Years","liver","Both","None",2754,"neoplasia","F","Dichotomous","liver carcinoma",NA,"ppm",NA,NA,"mg/kg-day","From USEPA IRIS database, 1988",NA,0,NA,0,53,2,NA,NA
"25",211,"Aldrin","309002","C12H8Cl6","ATSDR","Chronic Oral MRL (mg/kg/day)",3e-05,0.83,NA,"http://www.atsdr.cdc.gov/ToxProfiles/tp1.pdf","9/2002","Fitzhugh OG, Nelson AA, Quaife ML. 1964. Chronic oral toxicity of aldrin and dieldrin in rats and dogs. Food Cosmet Toxicol 2:551-562.","LOAEL",0.025,"mg/kg/day","NA","enlarged hepatocyte, increase in cytoplasmic eosinophilia with peripheral migration of basophilic granules, and possible increases in vacuolation and bile duct proliferation","No","None","None","No",1000,10,10,NA,10,NA,NA,TRUE,NA,NA,"Rat","Osborne-Mendel","M/F","Oral diet",NA,NA,"2","Years","liver","Both","None",4408,"nonneoplastic histopathology","Both","Dichotomous","enlarged hepatocyte, increase in cytoplasmic eosinophilia with peripheral migration of basophilic granules, and possible increases in vacuolation and bile duct proliferation",NA,NA,NA,NA,NA,"Based on same study and endpoint as IRIS RfD (see IRIS RfD record)",NA,NA,NA,NA,NA,NA,NA,NA
"26",211,"Aldrin","309002","C12H8Cl6","IRIS","RfD (mg/kg/day)",3e-05,0.83,1988-03-01,"http://www.epa.gov/iris/subst/0130.htm","3/1/1988","Fitzhugh, O.G., A.A. Nelson, and M.L. Quaife. 1964. Chronic oral toxicity of aldrin and dieldrin in rats and dogs. Food Cosmet. Toxicol. 2: 551-562.","LOAEL",0.025,"mg/kg/day",NA,"Liver toxicity","No","None","None","No",1000,10,10,NA,10,NA,NA,TRUE,NA,NA,"Rat",NA,"M/F","Oral diet",NA,NA,"2","Years","liver","Both","None",144,"nonneoplastic histopathology","Both","Dichotomous","Liver toxicity",NA,"ppm",NA,NA,NA,"Microscopic liver changes primarily characterized by enlarged centrilobular hepatic cells, with increased cytoplasmic oxyphilia, and perpheral migration of basophilic granules; sum of incidences across all severity categories; severity increased with dose",NA,0,NA,NA,17,1,NA,NA
"27",211,"Aldrin","309002","C12H8Cl6","IRIS","Oral Slope Factor (1/mg/kg-day)",17,NA,1993-07-01,"http://www.epa.gov/iris/subst/0130.htm","7/1/1993","Davis, K.J. 1965. Pathology report on mice fed dieldrin, aldrin, heptachlor, or heptachlor epoxide for two years. Internal FDA memorandum to Dr. A.J. Lehrman, July 19.",NA,NA,NA,"Other","liver carcinoma","No","None","NA","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","C3H","M/F","Oral diet",NA,NA,"2","Years","liver","Both","MOA Data",148,"neoplasia","F","Dichotomous","liver carcinoma",NA,"ppm",NA,NA,"mg/kg-day","Incidence data referenced in source as ""Davis, 1965 reevaluated by Reuber (cited in Epstein, 1975).",NA,0,NA,0,53,2,NA,NA
"28",211,"Aldrin","309002","C12H8Cl6","IRIS","Oral Slope Factor (1/mg/kg-day)",17,NA,1993-07-01,"http://www.epa.gov/iris/subst/0130.htm","7/1/1993","Davis, K.J. 1965. Pathology report on mice fed dieldrin, aldrin, heptachlor, or heptachlor epoxide for two years. Internal FDA memorandum to Dr. A.J. Lehrman, July 19.",NA,NA,NA,"Other","liver carcinoma","No","None","NA","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","C3H","M/F","Oral diet",NA,NA,"2","Years","liver","Both","MOA Data",148,"neoplasia","F","Continuous","liver carcinoma: incidence in Davis 1965",NA,"ppm",NA,NA,"mg/kg-day",NA,NA,0,NA,0,53,2,NA,NA
"29",211,"Aldrin","309002","C12H8Cl6","IRIS","Oral Slope Factor (1/mg/kg-day)",17,NA,1993-07-01,"http://www.epa.gov/iris/subst/0130.htm","7/1/1993","Davis, K.J. 1965. Pathology report on mice fed dieldrin, aldrin, heptachlor, or heptachlor epoxide for two years. Internal FDA memorandum to Dr. A.J. Lehrman, July 19.",NA,NA,NA,"Other","liver carcinoma","No","None","NA","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mouse","C3H","M/F","Oral diet",NA,NA,"2","Years","liver","Both","MOA Data",4063,"neoplasia","M","Dichotomous","liver carcinoma: incidence in NCI 1978",NA,"ppm",NA,NA,"mg/kg-day",NA,NA,0,NA,0,20,3,NA,NA
